"From"	"To"
"C1QC"	"uc008viq.1"
"C1QC"	"uc001bgb.2"
"C1QC"	"uc001bgc.3"
"C1QC"	"uc001bga.3"
"CCDC88A"	"uc002ryv.2"
"CCDC88A"	"uc010ypa.1"
"CCDC88A"	"uc010fbw.2"
"CCDC88A"	"uc002rys.2"
"CCDC88A"	"uc010ypb.1"
"CCDC88A"	"uc002ryt.2"
"CCDC88A"	"uc002ryw.2"
"CCDC88A"	"uc010fbz.2"
"CCDC88A"	"uc010fby.1"
"CCDC88A"	"uc002ryu.2"
"CCDC88A"	"uc010yoz.1"
"CCDC88A"	"uc007igx.1"
"CCDC88A"	"uc007igy.1"
"CCDC88A"	"uc007igw.1"
"CCDC88A"	"uc007igv.1"
"CCL13"	"uc002hic.2"
"CCL3L1"	"uc002kif.1"
"CCL3L1"	"uc002hle.2"
"CCL3L1"	"uc002kig.1"
"CCL3L1"	"uc002hlf.2"
"CCL3L3"	"uc002kif.1"
"CCL3L3"	"uc002hle.2"
"CCL3L3"	"uc002kig.1"
"CCL3L3"	"uc002hlf.2"
"CD300E"	"uc007mgk.1"
"CD300E"	"uc002jlb.1"
"CD86"	"uc011bjo.1"
"CD86"	"uc003eeu.2"
"CD86"	"uc011bjp.1"
"CD86"	"uc003eet.2"
"CD86"	"uc007zcq.1"
"CLEC1A"	"uc001qxb.2"
"CLEC1A"	"uc009zhf.2"
"CLEC1A"	"uc010sgx.1"
"CLEC1A"	"uc001qxd.2"
"CLEC1A"	"uc001qxc.2"
"CLEC1A"	"uc009eft.1"
"CLEC4C"	"uc001qti.1"
"CLEC4C"	"uc001qtg.1"
"CLEC4C"	"uc001qth.1"
"CLEC5A"	"uc009bna.1"
"CLEC5A"	"uc009bnc.1"
"CLEC5A"	"uc009bnb.1"
"CLEC5A"	"uc009bnd.1"
"CLEC5A"	"uc010lnq.1"
"CLEC5A"	"uc003vww.1"
"CLEC5A"	"uc010lnr.1"
"CLEC5A"	"uc003vwv.1"
"CLEC5A"	"uc011krm.1"
"CLIC2"	"uc004fnf.2"
"CLIC2"	"uc010nvj.1"
"CSF2RA"	"uc008icj.1"
"CSF2RA"	"uc010nvv.2"
"CSF2RA"	"uc010ncu.2"
"CSF2RA"	"uc011mhb.1"
"CSF2RA"	"uc004cpo.2"
"CSF2RA"	"uc004fpa.2"
"CSF2RA"	"uc010nvu.2"
"CSF2RA"	"uc004cpr.2"
"CSF2RA"	"uc010nvt.2"
"CSF2RA"	"uc004fpe.2"
"CSF2RA"	"uc004cpq.2"
"CSF2RA"	"uc004cpp.2"
"CSF2RA"	"uc004fpc.2"
"CSF2RA"	"uc011mhc.1"
"CSF2RA"	"uc010nct.2"
"CSF2RA"	"uc011nai.1"
"CSF2RA"	"uc010ncv.2"
"CSF2RA"	"uc004fpb.2"
"CSF2RA"	"uc004cpn.2"
"CSF2RA"	"uc004fpd.2"
"CSF2RA"	"uc011naj.1"
"FAM49A"	"uc007nbc.1"
"FAM49A"	"uc007nbe.1"
"FAM49A"	"uc007nbd.1"
"FAM49A"	"uc002rck.1"
"FAM49A"	"uc010exm.1"
"FCGR1A"	"uc009wlh.1"
"FCGR1A"	"uc009wkz.1"
"FCGR1A"	"uc001esp.3"
"FCGR1A"	"uc009wlg.2"
"FCGR1A"	"uc010pbh.1"
"FCGR1A"	"uc010pbg.1"
