"From"	"To"
"ADORA3"	"uc001ebf.2"
"ADORA3"	"uc001ebg.3"
"ADORA3"	"uc001ebh.3"
"ADORA3"	"uc008qvh.1"
"ADORA3"	"uc008qvi.1"
"ADORA3"	"uc008qvj.1"
"ADORA3"	"uc008qvg.1"
"AG2"	"uc010rfl.1"
"ARG1"	"uc010kfm.1"
"ARG1"	"uc003qco.1"
"ARG1"	"uc003qcp.1"
"ARG1"	"uc007erg.1"
"BIN2"	"uc001ryh.2"
"BIN2"	"uc010sng.1"
"BIN2"	"uc009zlz.2"
"BIN2"	"uc001ryg.2"
"C1orf162"	"uc001ebe.2"
"CAPS"	"uc002mdt.2"
"CAPS"	"uc002mdu.2"
"CD14"	"uc003lgj.1"
"CD14"	"uc003lgi.1"
"CD14"	"uc008eof.1"
"CD151"	"uc001lsa.2"
"CD151"	"uc001lrx.2"
"CD151"	"uc001lrz.2"
"CD151"	"uc001lsb.2"
"CD151"	"uc001lry.2"
"CD151"	"uc009klk.1"
"CD151"	"uc009kll.1"
"CD163L1"	"uc009khi.1"
"CD163L1"	"uc009khj.1"
"CD163L1"	"uc009khk.1"
"CD163L1"	"uc010sge.1"
"CD163L1"	"uc001qsy.2"
"CD1D1"	"uc008prt.1"
"CD1D1"	"uc008prs.1"
"CD274"	"uc010mhn.2"
"CD274"	"uc011lmb.1"
"CD274"	"uc003zje.2"
"CD274"	"uc003zjf.2"
"CD274"	"uc008hdi.1"
"CD40"	"uc002xri.1"
"CD40"	"uc002xrl.1"
"CD40"	"uc002xrh.1"
"CD40"	"uc002xrk.1"
"CD40"	"uc002xrg.1"
"CD40"	"uc002xrf.1"
"CD40"	"uc002xrj.1"
"CD40"	"uc008nwy.1"
"CD40"	"uc008nwx.1"
"CD40"	"uc008nxa.1"
"CD40"	"uc008nxb.1"
"CD40"	"uc008nwz.1"
"CD44"	"uc001mvu.2"
"CD44"	"uc010res.1"
"CD44"	"uc009ykh.2"
"CD44"	"uc010ret.1"
"CD44"	"uc001mvw.2"
"CD44"	"uc001mvy.2"
"CD44"	"uc010reu.1"
"CD44"	"uc001mvx.2"
"CD44"	"uc010rer.1"
"CD44"	"uc001mvv.2"
"CD44"	"uc001mwc.3"
"CD44"	"uc008lih.1"
"CD44"	"uc008lig.1"
"CD44"	"uc008lik.1"
"CD44"	"uc008lij.1"
"CD44"	"uc008lii.1"
"CD44"	"uc008lif.1"
"CD44"	"uc008lie.1"
"CCR2"	"uc009shc.1"
"CCR2"	"uc009shb.1"
"CCR2"	"uc003cpn.3"
"CCR2"	"uc003cpm.3"
"HAVCR2"	"uc003lwk.1"
"HAVCR2"	"uc003lwl.2"
"HAVCR2"	"uc007ion.1"
"CR2"	"uc001hfv.2"
"CR2"	"uc009xci.1"
"CR2"	"uc009xch.2"
"CR2"	"uc001hfw.2"
"CR2"	"uc007eez.1"
"CR2"	"uc007efa.1"
"CR2"	"uc007eey.1"
"CTR9"	"uc009jfx.1"
"CTR9"	"uc009jfw.1"
"CTR9"	"uc001mja.2"
"EBP"	"uc004djx.3"
"EBP"	"uc004djy.3"
"EBP"	"uc004djz.2"
"EBP"	"uc009soi.1"
"FAM48A"	"uc010tes.1"
"FAM48A"	"uc001uwl.1"
"FAM48A"	"uc001uwe.2"
