"From"	"To"
"ACSL4"	"uc009ulu.1"
"ACSL4"	"uc009ulw.1"
"ACSL4"	"uc009ulv.1"
"ACSL4"	"uc004eoi.2"
"ACSL4"	"uc010npp.1"
"ACSL4"	"uc004eoj.2"
"ACSL4"	"uc004eok.2"
"ADAMTS3"	"uc003hgl.2"
"ADAMTS3"	"uc003hgk.1"
"ADAMTS3"	"uc008yaq.1"
"ADCYAP1"	"uc008dwj.1"
"ADCYAP1"	"uc008dwi.1"
"ADCYAP1"	"uc010dkh.2"
"ADCYAP1"	"uc010dkg.2"
"ARHGAP15"	"uc008jou.1"
"ARHGAP15"	"uc008jox.1"
"ARHGAP15"	"uc008jov.1"
"ARHGAP15"	"uc008jow.1"
"ARHGAP15"	"uc010zbl.1"
"ARHGAP15"	"uc002tvn.2"
"ARHGAP15"	"uc002tvm.3"
"ATP8B4"	"uc008mdo.1"
"ATP8B4"	"uc008mdn.1"
"ATP8B4"	"uc008mdm.1"
"ATP8B4"	"uc001zxu.2"
"ATP8B4"	"uc010ber.2"
"ATP8B4"	"uc010ufd.1"
"ATP8B4"	"uc010ufe.1"
"ATP8B4"	"uc001zxv.1"
"ATP8B4"	"uc001zxt.2"
"C19orf59"	"uc002mhh.1"
"CASQ1"	"uc010pja.1"
"CASQ1"	"uc007dqa.1"
"CASQ1"	"uc007dpz.1"
"CLCN5"	"uc004doq.1"
"CLCN5"	"uc004dot.1"
"CLCN5"	"uc004dos.1"
"CLCN5"	"uc004dor.1"
"CLCN5"	"uc009sle.1"
"CLC"	"uc002omh.2"
"CMA1"	"uc007ubf.1"
"CMA1"	"uc001wpp.1"
"CMA1"	"uc010alx.1"
"CPA3"	"uc003ewm.2"
"CPA3"	"uc008osp.1"
"CTSG"	"uc001wpq.2"
"CTSG"	"uc007ubn.1"
"DUSP14"	"uc007kqe.1"
"DUSP14"	"uc007kqc.1"
"DUSP14"	"uc007kqd.1"
"DUSP14"	"uc002hny.2"
"DUSP14"	"uc002hnx.2"
"DUSP14"	"uc002hnz.2"
"EGR3"	"uc011kzo.1"
"EGR3"	"uc003xcm.1"
"EGR3"	"uc011kzn.1"
"EGR3"	"uc007unc.1"
"EGR3"	"uc007unb.1"
"EGR3"	"uc007und.1"
"EMR1"	"uc008det.1"
"EMR1"	"uc008des.1"
"EMR1"	"uc008deu.1"
"EMR1"	"uc008dev.1"
"EMR1"	"uc010xji.1"
"EMR1"	"uc010dvc.2"
"EMR1"	"uc002mfw.2"
"EMR1"	"uc010xjj.1"
"EMR1"	"uc010dvb.2"
"FST"	"uc003jpd.2"
"FST"	"uc003jpc.2"
"FST"	"uc007rxn.1"
"FST"	"uc007rxp.1"
"FST"	"uc007rxo.1"
"FSTL1"	"uc010hrb.2"
"FSTL1"	"uc003eds.2"
"FSTL1"	"uc011bjh.1"
"FSTL1"	"uc007zej.1"
"HDC"	"uc010uff.1"
"HDC"	"uc001zxy.2"
