"From"	"To"
"AKT3"	"uc007duk.1"
"AKT3"	"uc001hzz.1"
"AKT3"	"uc001iab.1"
"AKT3"	"uc001iaa.2"
"AXL"	"uc010ehj.2"
"AXL"	"uc010ehi.1"
"AXL"	"uc010ehk.2"
"AXL"	"uc009ftx.1"
"AXL"	"uc009fty.1"
"AXL"	"uc009ftz.1"
"CDH2"	"uc010xbn.1"
"CDH2"	"uc002kwg.2"
"CDH2"	"uc008edx.1"
"CRTAM"	"uc001pyj.2"
"CRTAM"	"uc001pyk.2"
"CRTAM"	"uc009paf.1"
"CRTAM"	"uc009pad.1"
"CRTAM"	"uc009pae.1"
"CYTH1"	"uc002jvw.2"
"CYTH1"	"uc010wtv.1"
"CYTH1"	"uc010wtx.1"
"CYTH1"	"uc010wtw.1"
"CYTH1"	"uc007mor.1"
"CYTH1"	"uc007mos.1"
"CYTH1"	"uc007moq.1"
"FASLG"	"uc001gis.2"
"FASLG"	"uc001git.2"
"GRB2"	"uc007mik.1"
"GRB2"	"uc007mii.1"
"GRB2"	"uc007mij.1"
"GRB2"	"uc002jny.3"
"GRB2"	"uc002jnx.3"
"KLRG1"	"uc001qvh.2"
"KLRG1"	"uc001qvg.2"
"KLRG1"	"uc009dov.1"
"LILRB5"	"uc010yer.1"
"LILRB5"	"uc002qey.2"
"LILRB5"	"uc002qfa.1"
"LILRB5"	"uc002qez.2"
"LILRB5"	"uc010yes.1"
"LILRB5"	"uc002qex.2"
"LST1"	"uc011hrp.1"
"LST1"	"uc010jsw.2"
"LST1"	"uc011gyx.1"
"LST1"	"uc011gci.1"
"LST1"	"uc011gcr.1"
"LST1"	"uc011gyv.1"
"LST1"	"uc011hrg.1"
"LST1"	"uc011jkg.1"
"LST1"	"uc011ioo.1"
"LST1"	"uc011gcq.1"
"LST1"	"uc011gyt.1"
"LST1"	"uc011eng.1"
"LST1"	"uc011gyq.1"
"LST1"	"uc011ioz.1"
"LST1"	"uc011ioq.1"
"LST1"	"uc011gcg.1"
"LST1"	"uc010jsx.2"
"LST1"	"uc011gyz.1"
"LST1"	"uc011hre.1"
"LST1"	"uc011emx.1"
"LST1"	"uc011gyp.1"
"LST1"	"uc011jkj.1"
"LST1"	"uc011ene.1"
"LST1"	"uc011gco.1"
"LST1"	"uc011ioy.1"
"LST1"	"uc011emy.1"
"LST1"	"uc011hrl.1"
"LST1"	"uc011iow.1"
"LST1"	"uc011iou.1"
"LST1"	"uc003num.2"
"LST1"	"uc011fei.1"
"LST1"	"uc011emz.1"
"LST1"	"uc011hrh.1"
"LST1"	"uc011jkh.1"
"LST1"	"uc011ios.1"
"LST1"	"uc011fel.1"
"LST1"	"uc011emu.1"
"LST1"	"uc011emw.1"
"LST1"	"uc011jkl.1"
"LST1"	"uc011hrj.1"
"LST1"	"uc011fem.1"
"LST1"	"uc011jkn.1"
"LST1"	"uc003nuo.2"
"LST1"	"uc011emv.1"
"LST1"	"uc011fek.1"
"LST1"	"uc011gza.1"
"LST1"	"uc011gcm.1"
"LST1"	"uc011hrn.1"
"LST1"	"uc003nun.2"
"LST1"	"uc011fej.1"
"LST1"	"uc011gck.1"
"LST1"	"uc011fer.1"
"LST1"	"uc003nuq.2"
"LST1"	"uc003nup.2"
"LST1"	"uc011gyy.1"
"LST1"	"uc011fes.1"
"LST1"	"uc003nus.2"
"LST1"	"uc011feu.1"
"LST1"	"uc011hrq.1"
"LST1"	"uc011fet.1"
"LST1"	"uc011gyw.1"
"LST1"	"uc011feq.1"
"LST1"	"uc011hrf.1"
"LST1"	"uc011ena.1"
"LST1"	"uc011gch.1"
"LST1"	"uc011gys.1"
"LST1"	"uc011fep.1"
"LST1"	"uc011enb.1"
"LST1"	"uc011end.1"
"LST1"	"uc003nuu.2"
"LST1"	"uc011gcf.1"
"LST1"	"uc011enf.1"
"LST1"	"uc011gyu.1"
"LST1"	"uc011iop.1"
"LST1"	"uc011fen.1"
"LST1"	"uc011enc.1"
"LST1"	"uc011feo.1"
"LST1"	"uc003nut.2"
"LST1"	"uc011jkc.1"
"LST1"	"uc011iot.1"
"LST1"	"uc011iox.1"
"LST1"	"uc011gyr.1"
"LST1"	"uc011ior.1"
"LST1"	"uc011gcn.1"
"LST1"	"uc011jkd.1"
"LST1"	"uc011jkf.1"
"LST1"	"uc011jkk.1"
"LST1"	"uc011gcp.1"
"LST1"	"uc011gyo.1"
"LST1"	"uc011jki.1"
"LST1"	"uc011jke.1"
"LST1"	"uc011gcl.1"
"LST1"	"uc011iov.1"
"LST1"	"uc011gcj.1"
"LST1"	"uc011hrm.1"
"LST1"	"uc011jkb.1"
"LST1"	"uc011jkm.1"
"LST1"	"uc011hrk.1"
"LST1"	"uc010jss.1"
"LST1"	"uc011hri.1"
"LST1"	"uc010jst.1"
"LST1"	"uc010jsu.1"
"LST1"	"uc011ipa.1"
"LST1"	"uc011hro.1"
"LST1"	"uc008cgo.1"
"LST1"	"uc008cgn.1"
"MAPK4"	"uc010doz.2"
"MAPK4"	"uc010xdm.1"
"MAPK4"	"uc002lev.2"
"MAPK4"	"uc008fpa.1"
"MAPK4"	"uc008fpb.1"
"MAPK4"	"uc008fpc.1"
"NOTCH3"	"uc008bvx.1"
"NOTCH3"	"uc002nao.1"
"NOTCH3"	"uc002nan.2"
"PIK3CG"	"uc007nia.1"
"PIK3CG"	"uc007nid.1"
"PIK3CG"	"uc007nib.1"
"PIK3CG"	"uc007nic.1"
"PIK3CG"	"uc003vdv.3"
"PIK3CG"	"uc003vdu.2"
"PIK3CG"	"uc003vdw.2"
"PILRA"	"uc009aeb.1"
"PILRA"	"uc009aea.1"
"PILRA"	"uc011kjn.1"
"PILRA"	"uc003uup.1"
"PILRA"	"uc003uuo.1"
"PILRA"	"uc003uuq.1"
"PILRA"	"uc011kjo.1"
"PLCG2"	"uc010chg.1"
"PLCG2"	"uc002fgt.2"
"PLCG2"	"uc009npc.1"
"SIGLEC7"	"uc002pvv.1"
"SIGLEC7"	"uc010eoq.1"
"SIGLEC7"	"uc002pvw.1"
"SIGLEC7"	"uc010eor.1"
"SIGLEC9"	"uc010yct.1"
"SIGLEC9"	"uc002pvu.2"
"C11orf75"	"uc001pdr.2"
"C11orf75"	"uc001pds.3"
"DYNLL1"	"uc008zdp.1"
"DYNLL1"	"uc001tyl.2"
"DYNLL1"	"uc001tym.2"
"DYNLL1"	"uc001tyj.2"
"HCP5"	"uc011fcw.1"
"HCP5"	"uc003ntl.2"
"HCP5"	"uc011jiq.1"
"HCP5"	"uc011hpt.1"
"HDGFRP2"	"uc008dau.1"
"HDGFRP2"	"uc008dav.1"
"HDGFRP2"	"uc008dax.1"
"HDGFRP2"	"uc008daw.1"
"HDGFRP2"	"uc002maq.1"
"HDGFRP2"	"uc010dua.2"
"HDGFRP2"	"uc002map.2"
"HDGFRP2"	"uc010dtz.1"
"HDGFRP2"	"uc002mao.2"
"KRT86"	"uc007xti.1"
"KRT86"	"uc010snq.1"
"KRT86"	"uc009zmg.2"
"KRT86"	"uc001sad.2"
"MLST8"	"uc002cpe.2"
"MLST8"	"uc010uvx.1"
"MLST8"	"uc002cpb.2"
"MLST8"	"uc002coz.2"
"MLST8"	"uc010uvy.1"
"MLST8"	"uc002cpc.2"
"MLST8"	"uc002coy.2"
"MLST8"	"uc002cph.2"
"MLST8"	"uc002cpd.2"
"MLST8"	"uc002cpg.2"
"MLST8"	"uc002cpf.2"
"MLST8"	"uc002cpa.2"
"MLST8"	"uc008awi.1"
"MLST8"	"uc008awh.1"
"MLST8"	"uc008awj.1"
"MLST8"	"uc008awg.1"
"MYL6B"	"uc007hne.1"
"MYL6B"	"uc001sju.1"
"MYL6B"	"uc001sjt.2"
"MYL6B"	"uc009zoo.2"
"MYL6B"	"uc001sjs.2"
"TAX1BP3"	"uc002fwc.2"
"TAX1BP3"	"uc002fwe.1"
"TAX1BP3"	"uc007kad.1"
"TAX1BP3"	"uc007kac.1"
"AKR7A3"	"uc001bbv.1"
"CLTB"	"uc007qon.1"
"CLTB"	"uc007qoo.1"
"CLTB"	"uc007qom.1"
"CLTB"	"uc003mei.2"
"CLTB"	"uc003meh.2"
"CLTB"	"uc011dfn.1"
"FAM27A"	"uc004adn.3"
"FAM27A"	"uc004aet.3"
"FAM27A"	"uc004adh.3"
"GLS2"	"uc007hlp.1"
"GLS2"	"uc007hlo.1"
"GLS2"	"uc001slj.2"
"GLS2"	"uc001slk.2"
"GLS2"	"uc009zos.2"
"GLS2"	"uc009zot.2"
"GLS2"	"uc001sll.2"
"GPRC5C"	"uc002jkp.2"
"GPRC5C"	"uc002jkt.2"
"GPRC5C"	"uc002jks.2"
"GPRC5C"	"uc002jkr.2"
"GPRC5C"	"uc002jkq.2"
"GPRC5C"	"uc002jku.2"
"GPRC5C"	"uc007mfw.1"
"GPRC5C"	"uc007mfx.1"
"GRIN1"	"uc008iri.1"
"GRIN1"	"uc008irl.1"
"GRIN1"	"uc008irh.1"
"GRIN1"	"uc008irm.1"
"GRIN1"	"uc008irk.1"
"GRIN1"	"uc004clk.2"
"GRIN1"	"uc004cli.1"
"GRIN1"	"uc004cln.2"
"GRIN1"	"uc004clj.1"
"GRIN1"	"uc004clo.2"
"GRIN1"	"uc004clm.2"
