"From"	"To"
"ACP5"	"uc009oob.1"
"ACP5"	"uc009onz.1"
"ACP5"	"uc009ooa.1"
"ACP5"	"uc002msj.3"
"ACP5"	"uc002msi.3"
"ACP5"	"uc010dye.1"
"ACP5"	"uc002msg.3"
"ACP5"	"uc002msh.3"
"C1orf54"	"uc001eud.2"
"C1orf54"	"uc001euc.2"
"C1orf54"	"uc001eug.2"
"C1orf54"	"uc001euf.2"
"C1orf54"	"uc001eue.2"
"CARD8"	"uc002pif.3"
"CARD8"	"uc010xzl.1"
"CARD8"	"uc010xzi.1"
"CARD8"	"uc002pij.1"
"CARD8"	"uc010els.2"
"CARD8"	"uc010xzm.1"
"CARD8"	"uc002pih.3"
"CARD8"	"uc010xzk.1"
"CARD8"	"uc002pig.3"
"CARD8"	"uc002pid.1"
"CARD8"	"uc010xzj.1"
"CARD8"	"uc002pii.3"
"CARD8"	"uc002pie.3"
"CCL18"	"uc002hku.2"
"CD209"	"uc002mht.2"
"CD209"	"uc010dvq.2"
"CD209"	"uc002mhr.2"
"CD209"	"uc010dvr.2"
"CD209"	"uc002mhs.2"
"CD209"	"uc010xju.1"
"CD209"	"uc002mhx.2"
"CD209"	"uc002mhv.2"
"CD209"	"uc002mhu.2"
"CD209"	"uc010dvp.2"
"CD209"	"uc002mhw.2"
"CD209"	"uc002mhq.2"
"CD33"	"uc009gmy.1"
"CD33"	"uc009gna.1"
"CD33"	"uc009gmz.1"
"CD33"	"uc010eou.1"
"CD33"	"uc010eos.1"
"CD33"	"uc002pwa.2"
"CD33"	"uc010eot.1"
"CECR1"	"uc011agj.1"
"CECR1"	"uc010gqu.1"
"CECR1"	"uc002zmj.1"
"CECR1"	"uc011agi.1"
"CECR1"	"uc002zmk.1"
"CLEC10A"	"uc010clv.1"
"CLEC10A"	"uc002gek.2"
"CLEC10A"	"uc002gej.2"
"CLEC10A"	"uc002gel.2"
"CLEC10A"	"uc007jty.1"
"CLEC10A"	"uc007jtw.1"
"CLEC10A"	"uc007jtx.1"
"CLEC4A"	"uc009zgb.1"
"CLEC4A"	"uc009zga.1"
"CLEC4A"	"uc001quc.1"
"CLEC4A"	"uc001qtz.1"
"CLEC4A"	"uc001qub.1"
"CSF1R"	"uc008fbn.1"
"CSF1R"	"uc008fbo.1"
"CSF1R"	"uc008fbp.1"
"CSF1R"	"uc010jhc.2"
"CSF1R"	"uc011dcd.1"
"CSF1R"	"uc003lrm.2"
"CSF1R"	"uc003lrl.2"
"CSF1R"	"uc011dce.1"
"CSF1R"	"uc011dcf.1"
"FCER1G"	"uc001fyz.1"
"FCER1G"	"uc001fza.1"
"FCER1G"	"uc007dnl.1"
"FCGR2A"	"uc001gao.2"
"FCGR2A"	"uc001gan.2"
"FCGR2A"	"uc001gam.2"
"FCGR2B"	"uc001gav.2"
"FCGR2B"	"uc009wun.1"
"FCGR2B"	"uc009wum.1"
"FCGR2B"	"uc001gbb.1"
"FCGR2B"	"uc001gba.1"
"FCGR2B"	"uc001gaz.1"
"FCGR2B"	"uc001gay.1"
"FCGR2B"	"uc009wuk.2"
"FCGR2B"	"uc009wuj.2"
