"From"	"To"
"BATF"	"uc001xrr.2"
"BATF"	"uc007ohd.1"
"BTLA"	"uc007zil.1"
"BTLA"	"uc007zik.1"
"BTLA"	"uc003dza.3"
"BTLA"	"uc003dzb.3"
"CCL11"	"uc002hia.1"
"CCL11"	"uc007kmr.1"
"CCL17"	"uc009mwz.1"
"CCL17"	"uc002elj.1"
"CCL17"	"uc010ccz.1"
"CCL22"	"uc009mww.1"
"CCL22"	"uc002elh.2"
"CCL3"	"uc002hkv.2"
"CCL3"	"uc007kpo.1"
"CCL3"	"uc007kpn.1"
"CCL3L1"	"uc002kif.1"
"CCL3L1"	"uc002hle.2"
"CCL3L1"	"uc002kig.1"
"CCL3L1"	"uc002hlf.2"
"CCL3L3"	"uc002kif.1"
"CCL3L3"	"uc002hle.2"
"CCL3L3"	"uc002kig.1"
"CCL3L3"	"uc002hlf.2"
"CCL5"	"uc002hkf.2"
"CCL5"	"uc007kpi.1"
"CCL7"	"uc002hhz.2"
"CCL7"	"uc010ctf.2"
"CCL7"	"uc007kmq.1"
"CCR1"	"uc009sgy.2"
"CCR1"	"uc003cph.1"
"CCR3"	"uc009sha.2"
"CCR3"	"uc003cpi.1"
"CCR3"	"uc010hjb.1"
"CCR3"	"uc003cpj.1"
"CCR3"	"uc003cpg.1"
"CCR3"	"uc003cpk.1"
"CCR3"	"uc003cpl.1"
"CCR4"	"uc003cfg.1"
"CCR4"	"uc009rxo.1"
"CCR8"	"uc009sca.1"
"CCR8"	"uc010hhr.2"
"CCR8"	"uc003cjm.2"
"CD1A"	"uc001frt.2"
"CD1B"	"uc001frx.2"
"CD1B"	"uc001frw.2"
"CD1B"	"uc010pic.1"
"CD1C"	"uc001fru.2"
"CD1C"	"uc001frv.2"
"CD1D"	"uc009wss.2"
"CD1D"	"uc001frr.2"
"CD1D"	"uc009wsr.1"
"CD1D"	"uc009wst.1"
"CD1D1"	"uc008prt.1"
"CD1D1"	"uc008prs.1"
"CD1E"	"uc001fsj.2"
"CD1E"	"uc001fsg.2"
"CD1E"	"uc009wsv.2"
"CD1E"	"uc001fsa.2"
"CD1E"	"uc001frz.2"
"CD1E"	"uc001fsh.2"
"CD1E"	"uc010pid.1"
"CD1E"	"uc001fry.2"
"CD1E"	"uc001fsi.2"
"CD1E"	"uc010pie.1"
"CD1E"	"uc010pig.1"
"CD1E"	"uc001fsk.2"
"CD1E"	"uc001fsf.2"
"CD1E"	"uc001fse.2"
"CD1E"	"uc001fsd.2"
"CD1E"	"uc010pif.1"
"CD1E"	"uc009wsw.2"
"CD1E"	"uc001fsc.2"
"CD247"	"uc001gek.2"
"CD247"	"uc001gej.3"
"CD247"	"uc001gei.3"
"CD247"	"uc007djp.1"
"CD247"	"uc007djq.1"
"CD247"	"uc007djs.1"
"CD247"	"uc007djo.1"
"CD247"	"uc007djr.1"
"CD247"	"uc007djn.1"
"CD28"	"uc002vah.3"
"CD28"	"uc002vaj.3"
"CD28"	"uc010ftx.2"
"CD28"	"uc010zio.1"
"CD28"	"uc002vag.1"
"CD28"	"uc007bew.1"
"CD28"	"uc007bev.1"
"CD3D"	"uc001pss.1"
"CD3D"	"uc001pst.1"
"CD3D"	"uc009pey.1"
"CD3E"	"uc009pez.1"
"CD3E"	"uc001psq.3"
"CD3E"	"uc010rya.1"
"CD3E"	"uc009yzz.1"
"CD3G"	"uc001psu.2"
"CD3G"	"uc009zaa.1"
"CD3G"	"uc009pex.1"
"CD69"	"uc001qwk.2"
"CD69"	"uc010sgu.1"
"CD69"	"uc010sgv.1"
"CD69"	"uc009efj.1"
"CD69"	"uc009efi.1"
"CD8A"	"uc009cgr.1"
"CD8A"	"uc009cgs.1"
"CD8A"	"uc002sru.2"
"CD8A"	"uc002srv.2"
"CD8A"	"uc010ytn.1"
"CD8A"	"uc002srt.2"
"CXCR1"	"uc007blm.1"
"CXCR1"	"uc002vhc.2"
"CXCR4"	"uc007cls.1"
"CXCR4"	"uc007clt.1"
"CXCR4"	"uc002tuy.2"
"CXCR4"	"uc010fnk.2"
"CXCR4"	"uc002tuz.2"
"CXCR5"	"uc001pue.3"
"CXCR5"	"uc001puf.2"
"CXCR5"	"uc009pdx.1"
"CXCR6"	"uc010hix.1"
"CXCR6"	"uc003cpc.1"
"CXCR6"	"uc009sgt.2"
"FGFBP2"	"uc003gon.2"
"FLT3"	"uc001urw.2"
"FLT3"	"uc010tdn.1"
"FLT3"	"uc010aao.2"
"FLT3"	"uc009aob.1"
"FOSL1"	"uc010ros.1"
"FOSL1"	"uc001ogg.1"
"FOSL1"	"uc008gdc.1"
"GRAP2"	"uc011aom.1"
"GRAP2"	"uc003ayi.2"
"GRAP2"	"uc011aoo.1"
"GRAP2"	"uc010gya.1"
"GRAP2"	"uc011aop.1"
"GRAP2"	"uc003ayj.1"
"GRAP2"	"uc011aoq.1"
"GRAP2"	"uc003ayh.1"
"GRAP2"	"uc011aon.1"
"GRAP2"	"uc007wvo.1"
"GRAP2"	"uc007wvq.1"
"GRAP2"	"uc007wvp.1"
"HLA-DRA"	"uc011hek.1"
"HLA-DRA"	"uc003obh.2"
"HLA-DRA"	"uc011jsf.1"
"HLA-DRA"	"uc011iwy.1"
"HLA-DRA"	"uc011fnf.1"
"HLA-DRA"	"uc003obi.2"
"HLA-DRA"	"uc011gjv.1"
"HLA-DRA"	"uc011fng.1"
"HLA-DRA"	"uc011gju.1"
"HLA-DRA"	"uc011hzp.1"
"HLA-DRB1"	"uc011fno.1"
"HLA-DRB1"	"uc011dqc.1"
"HLA-DRB1"	"uc011fnm.1"
"HLA-DRB1"	"uc011ixc.1"
"HLA-DRB1"	"uc011ixe.1"
"HLA-DRB1"	"uc011jsh.1"
"HLA-DRB1"	"uc011dqa.1"
"HLA-DRB1"	"uc003obp.3"
"HLA-DRB1"	"uc011jsk.1"
"HLA-DRB1"	"uc011dqb.1"
"HLA-DRB1"	"uc011ixb.1"
"HLA-DRB1"	"uc011ixd.1"
"HLA-DRB1"	"uc011ixa.1"
"HLA-DRB1"	"uc011hzq.1"
"HLA-DRB1"	"uc011fnk.1"
"HLA-DRB1"	"uc011iwz.1"
"HLA-DRB1"	"uc011jsg.1"
"HLA-DRB5"	"uc003obk.3"
"HLA-DRB5"	"uc003obj.2"
"HRH2"	"uc007qob.1"
"HRH2"	"uc003mdd.2"
"HRH2"	"uc003mdc.3"
"IFNG"	"uc001stw.1"
"IFNG"	"uc007hdy.1"
"IL10"	"uc001hen.1"
"IL10"	"uc009xbx.2"
"IL10"	"uc007cmu.1"
"IL10RA"	"uc009pfp.1"
"IL10RA"	"uc009pfo.1"
"IL10RA"	"uc009pfn.1"
"IL10RA"	"uc001prw.2"
"IL10RA"	"uc010rxl.1"
"IL10RA"	"uc010rxm.1"
"IL10RA"	"uc001prv.2"
"IL10RA"	"uc010rxn.1"
"IL12B"	"uc003lxr.1"
"IL12B"	"uc007inc.1"
"IL12B"	"uc007inb.1"
"IL12RB1"	"uc002nhx.1"
"IL12RB1"	"uc002nhw.1"
"IL12RB1"	"uc002nhy.2"
"IL12RB1"	"uc010xqb.1"
"IL12RB1"	"uc009mbr.1"
"IL12RB2"	"uc009cfo.1"
"IL12RB2"	"uc010oqm.1"
"IL12RB2"	"uc010oqi.1"
"IL12RB2"	"uc010oql.1"
"IL12RB2"	"uc010oqn.1"
"IL12RB2"	"uc010oqk.1"
"IL12RB2"	"uc001ddu.2"
"IL12RB2"	"uc010oqj.1"
"IL18R1"	"uc007auf.1"
"IL18R1"	"uc007aug.1"
"IL18R1"	"uc007aue.1"
"IL18R1"	"uc007auh.1"
"IL18R1"	"uc007aud.1"
"IL18R1"	"uc010ywb.1"
"IL18R1"	"uc002tbw.3"
"IL18R1"	"uc010fiy.2"
"IL18R1"	"uc010ywd.1"
