"From"	"To"
"ADAM8"	"uc009kgj.1"
"ADAM8"	"uc009kgk.1"
"ADAM8"	"uc010qvb.1"
"ADAM8"	"uc010qva.1"
"ADAM8"	"uc009ybi.2"
"ADAM8"	"uc009ybj.1"
"ADAM8"	"uc010quz.1"
"CCR5"	"uc003cpo.3"
"CCR5"	"uc010hjd.2"
"CCR5"	"uc009shd.1"
"CD151"	"uc001lsa.2"
"CD151"	"uc001lrx.2"
"CD151"	"uc001lrz.2"
"CD151"	"uc001lsb.2"
"CD151"	"uc001lry.2"
"CD151"	"uc009klk.1"
"CD151"	"uc009kll.1"
"CD48"	"uc007doz.1"
"CD48"	"uc007dpa.1"
"CD48"	"uc001fwp.2"
"CD48"	"uc001fwn.2"
"CD48"	"uc001fwo.1"
"CD52"	"uc001bmc.2"
"CD52"	"uc009vsg.1"
"CD52"	"uc008vea.1"
"CD53"	"uc008qwm.1"
"CD53"	"uc001dzw.2"
"CD53"	"uc001dzx.2"
"CD53"	"uc010owa.1"
"CD53"	"uc001dzy.2"
"CD6"	"uc008gqz.1"
"CD6"	"uc008gqx.1"
"CD6"	"uc008gqy.1"
"CD6"	"uc001nqt.2"
"CD6"	"uc009ynj.2"
"CD6"	"uc001nqs.2"
"CD6"	"uc001nqq.2"
"CD6"	"uc001nqp.2"
"CD6"	"uc001nqr.2"
"CD6"	"uc009yni.2"
"CD68"	"uc007jqx.1"
"CD68"	"uc007jqy.1"
"CD68"	"uc002ghv.2"
"CD68"	"uc002ghu.2"
"CD69"	"uc001qwk.2"
"CD69"	"uc010sgu.1"
"CD69"	"uc010sgv.1"
"CD69"	"uc009efj.1"
"CD69"	"uc009efi.1"
"CD68"	"uc007jqx.1"
"CD68"	"uc007jqy.1"
"CD68"	"uc002ghv.2"
"CD68"	"uc002ghu.2"
"CD7"	"uc007mvc.1"
"CD7"	"uc010wvk.1"
"CD7"	"uc010din.2"
"CD7"	"uc002kel.1"
"CD7"	"uc002kem.2"
"CD72"	"uc008spv.1"
"CD72"	"uc008spt.1"
"CD72"	"uc008sps.1"
"CD72"	"uc008spu.1"
"CD72"	"uc008spr.1"
"CD72"	"uc010mkw.1"
"CD72"	"uc003zxb.2"
"CD72"	"uc010mkt.1"
"CD72"	"uc010mkv.2"
"CD72"	"uc003zxc.1"
"CD72"	"uc010mku.2"
"CD96"	"uc007zjg.1"
"CD96"	"uc007zjh.1"
"CD96"	"uc007zjf.1"
"CD96"	"uc010hpy.1"
"CD96"	"uc003dxv.2"
"CD96"	"uc003dxw.2"
"CD96"	"uc003dxx.2"
"CD97"	"uc009mld.1"
"CD97"	"uc009mle.1"
"CD97"	"uc009mlc.1"
"CD97"	"uc002myl.2"
"CD97"	"uc002mym.2"
"CD97"	"uc002myn.2"
"EBI3"	"uc008daj.1"
"EBI3"	"uc002lzu.2"
"GPR84"	"uc007xxy.1"
"GPR84"	"uc001sfu.2"
"HAVCR2"	"uc003lwk.1"
"HAVCR2"	"uc003lwl.2"
"HAVCR2"	"uc007ion.1"
"ICAM1"	"uc009ojx.1"
"ICAM1"	"uc009ojw.1"
"ICAM1"	"uc002mnq.2"
"ICAM1"	"uc010xle.1"
"ICAM3"	"uc010xlf.1"
"ICAM3"	"uc010dxd.1"
"ICAM3"	"uc002mob.2"
"IGSF6"	"uc009jnm.1"
"IGSF6"	"uc010vbi.1"
"IGSF6"	"uc002djg.1"
"IL12A"	"uc003fcx.2"
