From	To	Species	Gene Name
IL9R	uc007iiz.1	Mus musculus	similar to interleukin 9 receptor; interleukin 9 receptor
IL9R	uc007iiy.1	Mus musculus	similar to interleukin 9 receptor; interleukin 9 receptor
IL9R	uc007iix.1	Mus musculus	similar to interleukin 9 receptor; interleukin 9 receptor
IL9R	uc004fxm.1	Homo sapiens	interleukin 9 receptor
IL9R	uc004fxn.1	Homo sapiens	interleukin 9 receptor
IL9R	uc004fnv.1	Homo sapiens	interleukin 9 receptor
IL9R	uc004fnu.1	Homo sapiens	interleukin 9 receptor
IL9R	uc010nxr.2	Homo sapiens	interleukin 9 receptor
IL9R	uc010nvn.2	Homo sapiens	interleukin 9 receptor
AIF1	uc008cgl.1	Mus musculus	allograft inflammatory factor 1
AIF1	uc008cgm.1	Mus musculus	allograft inflammatory factor 1
AIF1	uc011gcv.1	Homo sapiens	allograft inflammatory factor 1
AIF1	uc003nva.2	Homo sapiens	allograft inflammatory factor 1
AIF1	uc011hru.1	Homo sapiens	allograft inflammatory factor 1
AIF1	uc011ipf.1	Homo sapiens	allograft inflammatory factor 1
AIF1	uc011fey.1	Homo sapiens	allograft inflammatory factor 1
AIF1	uc011ipg.1	Homo sapiens	allograft inflammatory factor 1
AIF1	uc011jks.1	Homo sapiens	allograft inflammatory factor 1
AIF1	uc011ipe.1	Homo sapiens	allograft inflammatory factor 1
AIF1	uc011hrv.1	Homo sapiens	allograft inflammatory factor 1
AIF1	uc011gcw.1	Homo sapiens	allograft inflammatory factor 1
AIF1	uc003nuy.2	Homo sapiens	allograft inflammatory factor 1
AIF1	uc010jsy.2	Homo sapiens	allograft inflammatory factor 1
AIF1	uc011jkt.1	Homo sapiens	allograft inflammatory factor 1
AIF1	uc011fez.1	Homo sapiens	allograft inflammatory factor 1
AIF1	uc011hrw.1	Homo sapiens	allograft inflammatory factor 1
AIF1	uc011jkr.1	Homo sapiens	allograft inflammatory factor 1
AIF1	uc011ffa.1	Homo sapiens	allograft inflammatory factor 1
AIF1	uc011gcx.1	Homo sapiens	allograft inflammatory factor 1
PQBP1	uc004dlh.2	Homo sapiens	polyglutamine binding protein 1
PQBP1	uc004dln.2	Homo sapiens	polyglutamine binding protein 1
PQBP1	uc004dlk.2	Homo sapiens	polyglutamine binding protein 1
PQBP1	uc010nih.2	Homo sapiens	polyglutamine binding protein 1
PQBP1	uc004dli.2	Homo sapiens	polyglutamine binding protein 1
PQBP1	uc010nij.2	Homo sapiens	polyglutamine binding protein 1
PQBP1	uc004dld.2	Homo sapiens	polyglutamine binding protein 1
PQBP1	uc004dlj.1	Homo sapiens	polyglutamine binding protein 1
PQBP1	uc004dlg.2	Homo sapiens	polyglutamine binding protein 1
PQBP1	uc004dlm.2	Homo sapiens	polyglutamine binding protein 1
PQBP1	uc004dlf.2	Homo sapiens	polyglutamine binding protein 1
PQBP1	uc010nii.2	Homo sapiens	polyglutamine binding protein 1
PQBP1	uc004dle.2	Homo sapiens	polyglutamine binding protein 1
PQBP1	uc004dll.2	Homo sapiens	polyglutamine binding protein 1
PQBP1	uc009snd.1	Mus musculus	polyglutamine binding protein 1; similar to polyglutamine binding protein 1
OGT	uc004eaa.1	Homo sapiens	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)
OGT	uc011mpw.1	Homo sapiens	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)
OGT	uc004ead.2	Homo sapiens	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)
OGT	uc004eab.1	Homo sapiens	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)
OGT	uc004eac.2	Homo sapiens	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)
OGT	uc009tya.1	Mus musculus	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)
OGT	uc009tyd.1	Mus musculus	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)
OGT	uc009tyc.1	Mus musculus	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)
OGT	uc009tyb.1	Mus musculus	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)
OGT	uc009txz.1	Mus musculus	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)
RAB27B	uc002lfr.2	Homo sapiens	RAB27B, member RAS oncogene family
RAB27B	uc008fnz.1	Mus musculus	RAB27b, member RAS oncogene family
RAB27B	uc008foa.1	Mus musculus	RAB27b, member RAS oncogene family
KLRD1	uc009egc.1	Mus musculus	killer cell lectin-like receptor, subfamily D, member 1
KLRD1	uc009ege.1	Mus musculus	killer cell lectin-like receptor, subfamily D, member 1
KLRD1	uc009egd.1	Mus musculus	killer cell lectin-like receptor, subfamily D, member 1
KLRD1	uc001qxy.3	Homo sapiens	killer cell lectin-like receptor subfamily D, member 1
KLRD1	uc001qxx.3	Homo sapiens	killer cell lectin-like receptor subfamily D, member 1
KLRD1	uc009zhi.2	Homo sapiens	killer cell lectin-like receptor subfamily D, member 1
KLRD1	uc009zhh.2	Homo sapiens	killer cell lectin-like receptor subfamily D, member 1
KLRD1	uc001qxz.3	Homo sapiens	killer cell lectin-like receptor subfamily D, member 1
KLRD1	uc001qxw.3	Homo sapiens	killer cell lectin-like receptor subfamily D, member 1
HIGD1A	uc003cmb.3	Homo sapiens	similar to HIG1 domain family, member 1A; HIG1 hypoxia inducible domain family, member 1A; HIG1 hypoxia inducible domain family, member 1D
HIGD1A	uc010hid.2	Homo sapiens	similar to HIG1 domain family, member 1A; HIG1 hypoxia inducible domain family, member 1A; HIG1 hypoxia inducible domain family, member 1D
HIGD1A	uc003cma.3	Homo sapiens	similar to HIG1 domain family, member 1A; HIG1 hypoxia inducible domain family, member 1A; HIG1 hypoxia inducible domain family, member 1D
HIGD1A	uc009sec.1	Mus musculus	HIG1 domain family, member 1A
HIGD1A	uc009seb.1	Mus musculus	HIG1 domain family, member 1A
VNN2	uc003qdv.2	Homo sapiens	vanin 2
VNN2	uc010kgb.2	Homo sapiens	vanin 2
VNN2	uc003qdt.2	Homo sapiens	vanin 2
VNN2	uc003qds.2	Homo sapiens	vanin 2
KLRB1	uc010sgt.1	Homo sapiens	killer cell lectin-like receptor subfamily B, member 1
PIK3CG	uc007nia.1	Mus musculus	phosphoinositide-3-kinase, catalytic, gamma polypeptide
PIK3CG	uc007nid.1	Mus musculus	phosphoinositide-3-kinase, catalytic, gamma polypeptide
PIK3CG	uc007nib.1	Mus musculus	phosphoinositide-3-kinase, catalytic, gamma polypeptide
PIK3CG	uc007nic.1	Mus musculus	phosphoinositide-3-kinase, catalytic, gamma polypeptide
PIK3CG	uc003vdv.3	Homo sapiens	phosphoinositide-3-kinase, catalytic, gamma polypeptide
PIK3CG	uc003vdu.2	Homo sapiens	phosphoinositide-3-kinase, catalytic, gamma polypeptide
PIK3CG	uc003vdw.2	Homo sapiens	phosphoinositide-3-kinase, catalytic, gamma polypeptide
CRTAM	uc001pyj.2	Homo sapiens	cytotoxic and regulatory T cell molecule
CRTAM	uc001pyk.2	Homo sapiens	cytotoxic and regulatory T cell molecule
CRTAM	uc009paf.1	Mus musculus	cytotoxic and regulatory T cell molecule
CRTAM	uc009pad.1	Mus musculus	cytotoxic and regulatory T cell molecule
CRTAM	uc009pae.1	Mus musculus	cytotoxic and regulatory T cell molecule
PDPN	uc001ave.2	Homo sapiens	podoplanin
PDPN	uc001avc.2	Homo sapiens	podoplanin
PDPN	uc009voc.2	Homo sapiens	podoplanin
PDPN	uc001avf.2	Homo sapiens	podoplanin
PDPN	uc009vob.2	Homo sapiens	podoplanin
PDPN	uc001avd.2	Homo sapiens	podoplanin
PDPN	uc008vqa.1	Mus musculus	podoplanin
UGCG	uc004bft.2	Homo sapiens	UDP-glucose ceramide glucosyltransferase
UGCG	uc008szr.1	Mus musculus	UDP-glucose ceramide glucosyltransferase
