From	To	Species	Gene Name
PIK3CG	uc007nia.1	Mus musculus	phosphoinositide-3-kinase, catalytic, gamma polypeptide
PIK3CG	uc007nid.1	Mus musculus	phosphoinositide-3-kinase, catalytic, gamma polypeptide
PIK3CG	uc007nib.1	Mus musculus	phosphoinositide-3-kinase, catalytic, gamma polypeptide
PIK3CG	uc007nic.1	Mus musculus	phosphoinositide-3-kinase, catalytic, gamma polypeptide
PIK3CG	uc003vdv.3	Homo sapiens	phosphoinositide-3-kinase, catalytic, gamma polypeptide
PIK3CG	uc003vdu.2	Homo sapiens	phosphoinositide-3-kinase, catalytic, gamma polypeptide
PIK3CG	uc003vdw.2	Homo sapiens	phosphoinositide-3-kinase, catalytic, gamma polypeptide
CRTAM	uc001pyj.2	Homo sapiens	cytotoxic and regulatory T cell molecule
CRTAM	uc001pyk.2	Homo sapiens	cytotoxic and regulatory T cell molecule
CRTAM	uc009paf.1	Mus musculus	cytotoxic and regulatory T cell molecule
CRTAM	uc009pad.1	Mus musculus	cytotoxic and regulatory T cell molecule
CRTAM	uc009pae.1	Mus musculus	cytotoxic and regulatory T cell molecule
LST1	uc011hrp.1	Homo sapiens	leukocyte specific transcript 1
LST1	uc010jsw.2	Homo sapiens	leukocyte specific transcript 1
LST1	uc011gyx.1	Homo sapiens	leukocyte specific transcript 1
LST1	uc011gci.1	Homo sapiens	leukocyte specific transcript 1
LST1	uc011gcr.1	Homo sapiens	leukocyte specific transcript 1
LST1	uc011gyv.1	Homo sapiens	leukocyte specific transcript 1
LST1	uc011hrg.1	Homo sapiens	leukocyte specific transcript 1
LST1	uc011jkg.1	Homo sapiens	leukocyte specific transcript 1
LST1	uc011ioo.1	Homo sapiens	leukocyte specific transcript 1
LST1	uc011gcq.1	Homo sapiens	leukocyte specific transcript 1
LST1	uc011gyt.1	Homo sapiens	leukocyte specific transcript 1
LST1	uc011eng.1	Homo sapiens	leukocyte specific transcript 1
LST1	uc011gyq.1	Homo sapiens	leukocyte specific transcript 1
LST1	uc011ioz.1	Homo sapiens	leukocyte specific transcript 1
LST1	uc011ioq.1	Homo sapiens	leukocyte specific transcript 1
LST1	uc011gcg.1	Homo sapiens	leukocyte specific transcript 1
LST1	uc010jsx.2	Homo sapiens	leukocyte specific transcript 1
LST1	uc011gyz.1	Homo sapiens	leukocyte specific transcript 1
