"log2(ratio)"	"p-value"	"SD test"	"SD ref"
"2,3-dihydroxybutanoic acid NIST"	-1.94613312802126	0.00619062408702587	0.000677578618244119	0.0216950855662824
"2,6-diaminopimelic acid"	-0.339333481601497	0.70294323970354	0.00858659865339534	0.0327709033599561
"2-monopalmitin"	0.428002262277245	0.304471340943083	0.00836492934465213	0.0193926290863865
"2-monostearin NIST"	0.431152232691236	0.143669699903952	0.00524393468344907	0.0136562450988311
"3,6-anhydrogalactose"	-7.35160252895251	0.00125871013968505	2.8549937936608e-05	0.0427914820509656
"3-hydroxybutanoic acid "	-2.02189489727657	0.00208510661845652	0.000803941677707793	0.0342188313168958
"3-hydroxypyridine"	-0.836101221193936	0.514198623540225	0.0187638433812531	0.0131539241882088
"3-phenyllactic acid"	-1.68656426498825	0.02499051321991	0.00097833287130256	0.0333425375110191
"3-phosphoglycerate"	-1.10338698189095	0.0200560366528042	0.00311923911275889	0.0234805767356851
"4-hydroxybutyric acid"	-2.00546786722699	0.000494316824060586	0.00269606508372055	0.0196280579438944
"5-hydroxypiperidine-2-carboxylic acid"	-0.693302988458359	0.253406601069352	0.0047941449130418	0.0512112388975865
"adenine"	0.610255884408184	0.0367071883127454	0.000940157900188381	0.0321820499773966
"adenosine-5-monophosphate"	0.930073696805052	0.0085248999848066	0.0031030292153047	0.0452010534186436
"alanine"	-2.42793777363269	0.000873888693287998	0.000175052197611845	0.0296176553911495
"alanine 3TMS"	-6.14649554954607	0.00665424962259831	1.01927546901898e-05	0.0461798440640375
"arachidic acid"	-0.216368813101247	0.264018419892791	0.00162294192685468	0.00952198598568624
"aspartic acid"	-1.4714704144596	0.126598358988812	0.00151526575651034	0.049532486595005
"benzylalcohol"	-2.65395937075592	0.000148309011895673	0.000210998846433647	0.0274217882522627
"beta-alanine"	-0.409643966805659	0.600208176117721	0.0140376346215615	0.0364984633828156
"butane-2,3-diol (NIST)"	-3.09490684893455	0.00511576039632683	0.000857697132421626	0.02301459538448
"butyrolactam NIST"	-0.668920526439753	0.128065351312953	0.00274417177799066	0.0217626228582111
"cellobiose"	-3.1161372165421	0.000631865719224712	0.000119226555387445	0.032843809005153
"cerotic acid"	-0.650915271328962	0.00990208016523405	0.00187205248544352	0.0173463829845585
"cystathionine 4TMS NIST"	-0.387628776985131	0.616496716511454	0.0151273181053841	0.0306281888875629
"cysteine"	1.38874080498876	0.0307295881941923	0.0144998160967047	0.0503413731765893
"cysteine-glycine"	-0.39003079099691	0.522489044708217	0.0112045706599776	0.0345345859905641
"elaidic acid"	-0.766647247813507	0.260728405169309	0.00547686263582851	0.0294695400126037
"ethanolamine"	-0.170208498996055	0.25277443713766	0.001540668690397	0.0121622424393386
"GABA"	-0.157704134965193	0.673950518065571	0.00200146865515063	0.0291487362127265
"galactinol 1"	-3.10147502622009	0.00422651957877526	0.00161957577001042	0.0410642886328416
"galactose"	-10.001238217991	1.97846947433138e-05	3.43312296311744e-06	0.0275694356410937
"gluconic acid"	-10.0547122216196	0.00189901217951178	6.19024044419325e-06	0.0463838081675971
"glucose 2"	-11.7390580667092	0.000241174516351821	5.35451089915321e-06	0.0322047924622541
"glucose-6-phosphate 1"	-1.34112614106654	0.0444796890557459	0.00574883561940283	0.0261648317521815
"glutathione"	0.164136955063269	0.725585128066195	0.0073976624134712	0.0491398889607427
"glyceric acid"	-0.551481443744535	0.145357810465311	0.00464843841823873	0.0257881770355582
