"log2(ratio)"	"p-value"	"SD test"	"SD ref"
"2,3-dihydroxybutanoic acid NIST"	1.93259208235094	0.314504897274359	0.04786023693629	0.0110273245984168
"2,6-diaminopimelic acid"	1.49548675587092	0.566477197282961	0.0658224160774998	0.0251512829484791
"2-monopalmitin"	-1.27452235445311	0.00747111100220329	0.0060121071181225	0.0189990383777363
"2-monostearin NIST"	-0.254925182064064	0.665054275824423	0.0162461583140055	0.0133105918282745
"3,6-anhydrogalactose"	2.09116675303124	0.212719589214115	0.0692450126833736	0.0302054346667357
"3-hydroxybutanoic acid "	0.448426597746274	0.478384619079255	0.0202267179626847	0.0350339929236274
"3-hydroxypyridine"	0.26892713226206	0.529238554210608	0.0122621832386694	0.0139175563900295
"3-phenyllactic acid"	-0.178974854995552	0.889567892779013	0.0285129299719325	0.0333322654146419
"3-phosphoglycerate"	-0.0369289847131005	0.977045366708688	0.0328500121981348	0.0221793465233683
"4-hydroxybutyric acid"	0.713341064710988	0.53350290569552	0.0337478665769503	0.0173919823087345
"5-hydroxypiperidine-2-carboxylic acid"	-1.41260667302408	0.0666652407735467	0.00659025098164383	0.0519201955028646
"adenine"	-1.29782976600839	0.0724250783976573	0.0107327869670066	0.0323827577397493
"adenosine-5-monophosphate"	-5.76936061632798	0.00101978378554894	0.000139153930222079	0.0451610341600157
"alanine"	-0.062068375599066	0.95913377146256	0.0336011732561029	0.0293387748937441
"alanine 3TMS"	2.55985685524027	0.249679496484722	0.0899459423447679	0.02583908790289
"arachidic acid"	0.340781753701414	0.62790825040328	0.0149660645611669	0.00844673294382774
"aspartic acid"	1.20433616812954	0.446766883824119	0.0502088893484149	0.0475238974176448
"benzylalcohol"	0.700678160064343	0.0579475710128096	0.0087329378765748	0.028366721520757
"beta-alanine"	1.58534512913608	0.354960424690345	0.0694264272616638	0.0257561988669695
"butane-2,3-diol (NIST)"	-0.373470547727735	0.694364529371175	0.0125142608437149	0.0236219517902344
"butyrolactam NIST"	0.559359206424825	0.660541075827201	0.0309599159193999	0.0199988964978701
"cellobiose"	1.41655136458319	0.294208313599846	0.0492081475860006	0.0276617236286326
"cerotic acid"	0.497443347089971	0.539576680023236	0.0269696023968548	0.015492784122037
"cystathionine 4TMS NIST"	1.26795334923807	0.494951264918104	0.0779176706870396	0.0156796905519198
"cysteine"	-4.76647018344261	0.00345787158602671	0.000986315286727511	0.0519562220940219
"cysteine-glycine"	-0.202564557139925	0.874552753758022	0.0398625720781702	0.0332712066896065
"elaidic acid"	-3.18943845418329	0.00422510969556691	0.00185893033554623	0.0294228622635021
"ethanolamine"	0.118702384610018	0.866790615661157	0.0223036487204304	0.0103859770012418
"GABA"	-0.268262878000424	0.744966746435253	0.0188287372698002	0.0292353890417326
"galactinol 1"	1.88331659525839	0.32536193996224	0.0788498881604688	0.0284031094758286
"galactose"	1.2162907701622	1.45277263596974e-05	0.00172300754423562	0.0273177707689308
"gluconic acid"	1.18493663988224	0.46028839000706	0.0659462837562111	0.0423117311576169
"glucose 2"	0.949469233542883	0.197751934087874	0.0214548305289178	0.0324631495626318
"glucose-6-phosphate 1"	1.01434113189017	0.567193314038082	0.060800505326025	0.0178746935531027
"glutathione"	-2.27831902906351	0.0109431064590993	0.00546308675043502	0.0491489173180802
"glyceric acid"	-0.89194731573587	0.190134212987496	0.0136123575576971	0.0257079021485253
"glycerol"	0.584779720994313	0.193278005082122	0.0122540029521403	0.020164579411169
"glycerol-alpha-phosphate"	-1.40338674849608	0.094347373873889	0.0130633391829016	0.0256834704868339
"glycerol-beta-phosphate RI 571748"	-0.159239164720277	0.823936483976152	0.0220715352715743	0.0149171318237497
"glycine"	-5.10582572217054	0.00759699665398356	0.000956219248386741	0.0584470249644263
"heptadecanoyl-1-glyceride"	-1.45250417220977	0.000224455398052648	0.00356824964589127	0.0152603004084541
"homocystine"	-0.455198398335988	0.657490782308494	0.0212880508990775	0.0177784653517068
"homoserine"	-0.151090715366252	0.841441805398601	0.0123820141471325	0.0126723991239071
"homoserine minor"	0.919767826386214	0.417122416467695	0.0344039693623012	0.0167675974340009
"hydroxylamine"	-0.781767314970898	0.123087829295234	0.00908370654932974	0.00615318159575928
"isoleucine"	-0.767652995976943	0.345763148674891	0.0192148592170596	0.0286902024925235
"isoleucine minor"	0.733414270218931	0.717536427883691	0.0602879718080728	0.0231147244622834
"lactic acid"	-1.47172789429356	0.17182189351673	0.013558726751613	0.0498494488934505
"lauric acid"	2.40540228103891	0.421454366238311	0.137935279719383	0.0149638072350277
"leucine"	-0.858058250897177	0.235367775256335	0.0155145276705355	0.0338779584585124
"levoglucosan"	1.3509108692858	0.255411898148285	0.0431225611469619	0.0208106404649346
"maleic acid"	1.92514247829409	0.464260273772506	0.0532178269217215	0.0113135172772391
"malic acid"	2.54979366076043	0.383469285216186	0.157337681269336	0.0539537941602722
"mannose-6-phosphate NIST"	-3.38265417088474	0.0142928092546482	0.005662324639803	0.0571517530270079
"methionine"	-0.406598693458022	0.586414900121141	0.0158470353453615	0.0253067174491761
"methylhexadecanoic acid"	0.215259936093332	0.744380898054364	0.017426472115417	0.0115690439732771
"monomyristin NIST"	-0.421996967868121	0.00313719864867227	0.00160583727295763	0.00975503072125812
"myristic acid"	-2.66188125344792	0.00394949928154065	0.00336534098256775	0.0407857390262324
"N-acetylaspartic acid 2"	3.53515220095021	0.455164901398121	0.240642145491133	0.0209055609848326
