"log2(ratio)"	"p-value"	"SD test"	"SD ref"
"2,3-dihydroxybutanoic acid NIST"	0.652818736922883	0.475573623182306	0.0180795133093405	0.0216227143673926
"2,6-diaminopimelic acid"	-2.84552054448275	0.0287141322542607	0.00161766417451663	0.0330845655046493
"2-monopalmitin"	-1.74597983409717	2.32133780654576e-05	0.00218123077444453	0.018559912549862
"2-monostearin NIST"	-1.25823256570192	0.0120852546725732	0.00635086507398654	0.0126346006140563
"3,6-anhydrogalactose"	0.933234641461617	0.196307860159368	0.0233538272955034	0.0433912342718442
"3-hydroxybutanoic acid "	-0.17011991057431	0.740554022421666	0.0119207196469633	0.03558196178497
"3-hydroxypyridine"	-0.310004452220756	0.479944108724497	0.0105584013920683	0.0140527106452418
"3-phenyllactic acid"	-1.86318583489188	0.0266294579597631	0.00468781438436135	0.0338426242083503
"3-phosphoglycerate"	0.246066400084172	0.866378904980249	0.0404461814506683	0.0208903328827213
"4-hydroxybutyric acid"	-0.08672630260466	0.912118254965869	0.0192566975497997	0.0200547837604606
"5-hydroxypiperidine-2-carboxylic acid"	-1.66212704524834	0.0366423881349057	0.00297744406059074	0.0518170900191063
"adenine"	-1.20993295498277	0.0935686770726457	0.0112926587765755	0.0324274709724649
"adenosine-5-monophosphate"	-5.59623606921138	0.00104929367889879	0.00059630668146852	0.045170778644096
"alanine"	1.08356513915831	0.476072744929582	0.0534616991175376	0.0245991431326258
"alanine 3TMS"	-0.116149243853211	0.908478060438547	0.0243338914448333	0.0474352835356426
"arachidic acid"	-0.555121895467513	0.157124351037591	0.00530171220007882	0.00938044519901526
"aspartic acid"	2.40165459539267	0.440234178287049	0.125396101925077	0.0222491078507127
"benzylalcohol"	0.29922040355127	0.337918787233653	0.00421348621699779	0.0289949081471283
"beta-alanine"	0.811866086075277	0.505318520342622	0.0436684073911599	0.0342820771337777
"butane-2,3-diol (NIST)"	-0.0909973888076497	0.916523232353908	0.012397332297751	0.0236617322570839
"butyrolactam NIST"	-0.159504139319337	0.898973836726279	0.0257006912455318	0.0209393220194374
"cellobiose"	0.233099056929487	0.708863358077465	0.0173290609045697	0.0341111587888804
"cerotic acid"	-0.438257925959064	0.269051097215875	0.00880086383157802	0.0176250403740031
"cystathionine 4TMS NIST"	-0.655944339260513	0.10958186909767	0.00418178840811957	0.0312933061722828
"cysteine"	-5.21800234081646	0.00313169904875346	0.00044514742498489	0.0519192656419917
"cysteine-glycine"	-2.00523138258493	0.0124386391749315	0.00911923332839179	0.0341533094036687
"elaidic acid"	-2.93427165697466	0.00491077259501592	0.000462657140473652	0.0294742635290451
"ethanolamine"	-0.129592673266365	0.843156920369945	0.0192312097242798	0.0109538644536088
"GABA"	0.764280503540268	0.632109124132711	0.0504913402391456	0.0247839244782423
"galactinol 1"	0.847971972531896	0.304676971760563	0.026358816082321	0.0413609770693795
"galactose"	1.26495456932166	6.42780175618815e-06	0.00144955147656997	0.0270579521909023
"gluconic acid"	1.26644318600565	0.358750943124597	0.0553604025451703	0.0434109274907899
"glucose 2"	1.4627773636235	0.0275859089510199	0.0169026944314689	0.0306846316718232
"glucose-6-phosphate 1"	0.501319419306722	0.678903481224979	0.0370765416226074	0.0244689978451088
"glutathione"	-2.24084333869815	0.0102169408247142	0.00387810325311549	0.0491808986365842
"glyceric acid"	-1.43308757233476	0.0203316328194679	0.00851395840884279	0.0254022840051563
"glycerol"	0.898463826567316	0.0282578843269722	0.00966896309041506	0.0193356435946048
"glycerol-alpha-phosphate"	-1.55568410736356	0.0487150252227563	0.0110415147272412	0.0256446402044247
"glycerol-beta-phosphate RI 571748"	-0.791717178078988	0.0348966538770401	0.00658358751279175	0.0155658462386394
"glycine"	-5.44338563346815	0.00721964069185114	0.000824750528080359	0.0584265329009103
"heptadecanoyl-1-glyceride"	-1.64182826869077	3.8486787028164e-06	0.000660280809686189	0.0150730376885322
"homocystine"	-1.17195696662454	0.162773468876612	0.011742062230153	0.0180963032543318
"homoserine"	-0.952430279217832	0.1810147617795	0.00773842321506158	0.0126708594992953
"homoserine minor"	-0.455423750964723	0.524167748019193	0.015177781342268	0.0204193781375374
"hydroxylamine"	0.000523597138457757	0.998227943135927	0.00707995996423795	0.00789302618193908
"isoleucine"	0.0850162227348516	0.921090403797247	0.0287028431762011	0.0283465091871985
"isoleucine minor"	-0.487965514468211	0.694401158416031	0.0258351711497711	0.0289358574079282
"lactic acid"	-2.45808615608853	0.0276557984653211	0.000921441136292984	0.049692961806666
"lauric acid"	0.0534977980912739	0.959149145200203	0.0277117550370358	0.0525831317955798
"leucine"	-0.991546969213404	0.240626328159589	0.0180062739932976	0.0336518171555568
"levoglucosan"	0.443360606657541	0.429895934343765	0.0172959176775849	0.0275649144056248
"maleic acid"	0.171895090685356	0.810101356871078	0.00800462325887908	0.0220663396046903
"malic acid"	1.67887521862152	0.343309739349897	0.0803214322967266	0.0742718452178231
"mannose-6-phosphate NIST"	-4.00114545938509	0.00983660718851712	0.0034626719401484	0.0570637317713487
"methionine"	-1.23085864186018	0.0318674491359163	0.00626161066312082	0.0252135516422637
"methylhexadecanoic acid"	-0.753915663096144	0.0276933346515808	0.00463411996224431	0.0122103700653481
"monomyristin NIST"	-0.288119242007741	0.0534391689823388	0.00245295695236993	0.00992177371023245
"myristic acid"	-3.25108328079554	0.00202046920125187	0.0018559691230866	0.040610559180609
"N-acetylaspartic acid 2"	0.25451778243724	0.884898437682329	0.0481328633364958	0.0881890661484477
"N-acetyl-D-hexosamine"	0.685521857133003	0.635335640566878	0.0412755401860112	0.0550527111740538
"N-butylamine NIST"	-0.0813826821515566	0.872393450021665	0.00840009818756429	0.0415519882979696
"N-carbamoylaspartate"	0.513316838783998	0.686822627175673	0.0412887772918804	0.0681181921392145
"nicotinamide"	-2.12453547108815	0.0012734034656782	0.0055386152611615	0.030481209694498
"N-methylalanine"	0.753711770328027	0.484717999970067	0.0402945706427634	0.0285324213482454
"O-acetylserine"	1.68757894864014	0.312007555616966	0.0605860735737069	0.0313984411063261
"ornithine 3TMS minor"	-1.21041853990028	0.13863547507617	0.0113170075461148	0.0299574343914594
"orotic acid"	0.401003129674495	0.697359363835544	0.0325614195237616	0.0511454599034878
"oxalic acid"	0.000215250410182976	0.999507806062054	0.00748584826891234	0.0252222804085591
"oxoproline"	-0.764435735303764	0.592054553943568	0.0269621537303993	0.0798435001032735
"palmitic acid"	-1.7876797743179	6.36412934232013e-05	0.00213156290409124	0.0164274654499172
"palmitoleic acid"	-0.644147613882551	0.347954094623865	0.0158984617153441	0.0257319042578909
"pelargonic acid"	-1.54436678893507	0.10786247969392	0.00905353098419884	0.0414461121586359
"phenylalanine"	0.423676366637309	0.73354388266881	0.0407276399692338	0.0246316809250288
"phenylalanine TMS1x"	-1.22478318956674	0.224264418650104	0.0104184623146427	0.0557033963780919
"phenylpyruvic acid"	-2.25506856198742	0.00602006174025522	0.00347667090516022	0.0409741271473903
"phosphoethanolamine"	0.0608464971437115	0.959400771028771	0.034244736712272	0.0463328707985057
"phosphoric acid"	0.111874665342758	0.886906788520195	0.023700423750464	0.0167202919821206
"proline"	-0.764398241495359	0.289470032609303	0.0152205000677488	0.0254357833244349
"pseudo uridine"	-0.334300846614024	0.632572911644028	0.0184770430335883	0.0260650095505045
"putrescine"	-1.86260776103504	0.013037184454854	0.00785373667939263	0.0337651962782712
"putrescine 3TMS"	-0.212456128653803	0.449009093632946	0.00654464986904032	0.0170192894537353
"putrescine CO2 adduct"	0.56612420000205	0.0035982907408483	0.00235173113257298	0.0169732469252065
"pyrazine 2,5-dihydroxy  NIST"	-2.65776549480207	4.75382424908688e-05	0.00185473416175812	0.0267052526905709
"pyrophosphate 1"	-3.84294163502559	3.90197560803268e-05	0.0010447905973658	0.0272411351748469
