PubChem CID	KEGG
1045	C02896
754	C03189
33032	D00007
145742	D00035
6106	D00030
6057	D00022
70914	C00624
597	C00380
7427	C01083
10712	C06422
445639	C00712
5288725	C02721
1000	C02735
5280450	C01595
790	C00262
6288	D00041
5951	C00065
445638	C08362
13945	C00239
6613	D07413
1176	D00023
457	C02918
70	C00233
1088	C00213
16219957	C02076
750	C00037
45	C02287
33032	D00007
791	C16434
439665	C01796
1110	C00042
6287	C00183
24749	C00738
604	C00770
444212	C02341
6287	C00183
5950	C00041
444972	D02308
3893	C02679
1135	C00178
36	C04411
19	C00196
985	D05341
753	D00028
169019	C16884
1004	C00009
1015	C00346
311	C00158
10436	C00727
439559	C01742
5988	D00025
66868	C05113
1174	C00106
439194	C00258
11005	C06424
151138	C00156
5950	C00041
135	C00156
439746	C02522
84571	C00243
439240	C00476
2724552	D09007
71	C00322
740	C06156
12647	C00263
101713	Not Found
124886	D00014
1995	D07350
206	C00738
243	C00180
2526	C02979
2724552	D09007
275	C00308
3034828	Not Found
3625615	Not Found
441032	C06464
68152	C01013
6912	C00379
73563	C03752
757	C03547
8299	C05235
92824	C00497
938	C00253
971	C00209
