"log2(ratio)"	"p-value"	"SD test"	"SD ref"
"2,3-dihydroxybutanoic acid NIST"	0.590419064928593	0.546775156797312	0.0141934889505873	0.0217097795507318
"2,6-diaminopimelic acid"	-1.02685801930317	0.326938832323109	0.00755243696449634	0.0326914179117911
"2-monopalmitin"	-1.43876137939459	0.000159006826820915	0.00187889182202956	0.0188828369091212
"2-monostearin NIST"	-0.0906830016775456	0.819057836078093	0.00839277489526009	0.0138716551547401
"3,6-anhydrogalactose"	1.12806836474858	0.0494673396504913	0.0118168193119621	0.0427109045696576
"3-hydroxybutanoic acid "	1.62563426322062	0.348012764917674	0.0488898550772814	0.0292615687188691
"3-hydroxypyridine"	-0.0888235601242278	0.937840759656262	0.0237706544580463	0.0132773424329176
"3-phenyllactic acid"	-0.382154695816148	0.477705436867002	0.00388582815147884	0.0336475787088462
"3-phosphoglycerate"	0.0250666706989515	0.932964050864971	0.00154535474336378	0.0238241112211504
"4-hydroxybutyric acid"	0.792763846156929	0.34681711591795	0.0157337529512647	0.0195553857604967
"5-hydroxypiperidine-2-carboxylic acid"	-0.45749113054496	0.460801208037219	0.00828617639291175	0.0512617327550803
"adenine"	-1.754439215193	0.00304488588213186	0.000365674674990399	0.0318372604962506
"adenosine-5-monophosphate"	-4.18005438506464	0.00158819975815472	0.000579374297932035	0.0448705529002183
"alanine"	-1.04020270130292	0.030027969042297	0.000894025283951726	0.0301085866011911
"alanine 3TMS"	1.07909325878136	0.583848536704263	0.0512810086250144	0.0449356848347954
"arachidic acid"	-0.391449570769019	0.675508102895356	0.0117437881096013	0.00912849258214149
"aspartic acid"	-0.647784958732515	0.663692610424619	0.0212318210353351	0.0494858042684733
"benzylalcohol"	1.09056116041281	0.286781268595453	0.0226513467494945	0.0266522292232366
"beta-alanine"	0.977224248451873	0.00223461734951635	0.00280002685238627	0.0358614206788284
"butane-2,3-diol (NIST)"	2.09028009922877	0.510288188459995	0.059699973460177	0.0157260564427502
"butyrolactam NIST"	-0.600045823982968	0.127683312978552	0.000446486021450296	0.021789724217927
"cellobiose"	0.860942826778394	0.0506671134146569	0.00793634157818166	0.0331324061542278
"cerotic acid"	1.0497496352406	0.437710554986967	0.033778338324307	0.013763618890623
"cystathionine 4TMS NIST"	0.36107737874364	0.748182917604861	0.0289834330086351	0.0301451940413346
"cysteine"	-4.70643327848802	0.00361784018923157	0.00131378789111508	0.0513294291390847
