"log2(ratio)"	"p-value"	"SD test"	"SD ref"
"2,3-dihydroxybutanoic acid NIST"	-0.670515108632826	0.391965876376058	0.00967937903499983	0.0222471668080371
"2,6-diaminopimelic acid"	2.11373080460513	0.319340739462006	0.0545790668315692	0.0251322218774807
"2-monopalmitin"	0.372630583913326	0.391718233315979	0.0125383735896998	0.0195475103718111
"2-monostearin NIST"	0.245473724076205	0.408477414884762	0.00838782966569039	0.0139644914333321
"3,6-anhydrogalactose"	-4.25554886585875	0.00199899601742739	0.00148828355547125	0.0433507151969965
"3-hydroxybutanoic acid "	-1.0270005638548	0.0712687206678884	0.00776805522378425	0.0352092544822902
"3-hydroxypyridine"	0.0327188833718461	0.92507454275872	0.00940778147233505	0.0142600593788464
"3-phenyllactic acid"	2.24679054039024	0.251004187715172	0.0645939515927455	0.0186415234292287
"3-phosphoglycerate"	1.21838904621609	0.357875301306856	0.0413964913766928	0.0181916427326176
"4-hydroxybutyric acid"	0.219648504382656	0.814961818739036	0.0252639889847885	0.0193651330340895
"5-hydroxypiperidine-2-carboxylic acid"	-0.368270131469076	0.648726701238265	0.0204457088428196	0.0521188818466918
"adenine"	1.79879083896108	0.22384980439937	0.0566531888953619	0.0198857450865658
"adenosine-5-monophosphate"	0.0913503242419875	0.955602743272755	0.0576971392170966	0.0434876563398739
"alanine"	0.712732139378473	0.555605905638756	0.0395299738842594	0.0280477695436558
"alanine 3TMS"	-1.8702134605885	0.0603895691113862	0.00684622267738804	0.0473786884294525
"arachidic acid"	-0.0232102398232164	0.972346121739009	0.0133217468447594	0.00887885144791025
"aspartic acid"	-2.98506676596068	0.0396268956413098	0.00373259203886343	0.0502123088866862
"benzylalcohol"	-1.76746340559455	0.0022097548929089	0.00430187813277686	0.0279815591444324
"beta-alanine"	-0.854043773599516	0.350691988041492	0.0189057938999938	0.0367587167502192
"butane-2,3-diol (NIST)"	-1.53731816906084	0.1048822007532	0.00676952827943232	0.0235460446386734
"butyrolactam NIST"	1.33532897186796	0.365437705717608	0.0396055069333543	0.0162494290771552
"cellobiose"	0.860814543295791	0.599807497719008	0.0593646232295002	0.0283305857171583
"cerotic acid"	-0.196224608128278	0.534878758968399	0.00746435843367826	0.01785527370044
"cystathionine 4TMS NIST"	-0.958241378418357	0.0368496646689598	0.00476574063525809	0.0310548114759606
"cysteine"	0.49507484242265	0.78956762405094	0.0733268278164491	0.0483068084213653
"cysteine-glycine"	0.737488993310123	0.544443722558867	0.0464467448736069	0.031730044233943
"elaidic acid"	2.0841265752222	0.220922759818886	0.0471734520097008	0.0205466203182699
"ethanolamine"	0.387783221993495	0.481955980143841	0.0173751345744537	0.0108567201203031
"GABA"	-1.79039032897571	0.0633142804515025	0.0111880524268103	0.0288050537359567
"galactinol 1"	-3.02163870151169	0.0045246140050037	0.00188884845228445	0.0416133200421876
"galactose"	-0.0998096260626388	0.909936869936426	0.0248479016212138	0.0286643938641277
"gluconic acid"	-2.50660681465251	0.0134283323373962	0.00617254347640535	0.0474182018907381
"glucose 2"	-1.74993562414493	0.114189040420533	0.0147279046958728	0.0329755904554867
"glucose-6-phosphate 1"	0.609244780991523	0.481796753873975	0.0257842565110144	0.0256656405977988
"glutathione"	1.86703977923678	0.387760237421304	0.109720522033521	0.0279706953219666
"glyceric acid"	1.07696345825998	1.0644542464863e-05	0.00143739452690462	0.0243754966926201
"glycerol"	-0.0703927619814547	0.926324690849811	0.0214180985486955	0.0199677001027759
"glycerol-alpha-phosphate"	1.07912437006511	0.256186350812558	0.0319599881638122	0.0228820230575293
"glycerol-beta-phosphate RI 571748"	-0.878017347994546	0.000768479047118797	0.00299608698667169	0.01553686786291
"glycine"	-1.27125735158408	0.302005676665928	0.0240981407327253	0.0589511714064834
"heptadecanoyl-1-glyceride"	0.910721003808272	7.03711858552316e-06	0.00276246348463897	0.0147887059781552
"homocystine"	0.953350285452801	0.356014683583881	0.0283572440392324	0.0155000843582914
"homoserine"	0.0183239277817334	0.987414646975521	0.0205684409960172	0.0116297673598906
"homoserine minor"	1.00888711696874	0.389561632656278	0.0359217615681226	0.0160594004947432
"hydroxylamine"	0.233518407621069	0.25028821153558	0.00558731642872848	0.00780010631788341
"isoleucine"	-1.55826300121907	0.108296272682426	0.0161129279046668	0.0281383196857459
"isoleucine minor"	-0.858207739279047	0.307289169500302	0.0133610026813991	0.0295670756364209
"lactic acid"	-1.01446063243064	0.296796130773878	0.0145499592428313	0.0500066260806759
"lauric acid"	-0.746943389882047	0.404776890159716	0.0140198827392639	0.0529295918181193
"leucine"	0.537667060450887	0.589872871535204	0.0372506322149302	0.0323100780637954
"levoglucosan"	-0.397861525286688	0.498743782604599	0.0141265982518247	0.0278519526062876
"maleic acid"	-2.22055926752341	0.0254221167325745	0.00181781553353932	0.0218324476868128
"malic acid"	-4.2499325887273	0.0526251231358554	0.00185599990971524	0.0799118770510767
