"log2(ratio)"	"p-value"	"SD test"	"SD ref"
"2,3-dihydroxybutanoic acid NIST"	0.379624670788087	0.34342548509333	0.0018214421667382	0.00161807671515244
"2,6-diaminopimelic acid"	1.83131119302084	0.425358231350272	0.0236055585948159	0.00380598575446093
"2-monopalmitin"	-0.104532552605518	0.77416485131632	0.0161537370424314	0.0120492557471978
"2-monostearin NIST"	-0.190962265545047	0.657350833265235	0.0133181788754211	0.0132461706896009
"3,6-anhydrogalactose"	0.458377402265296	0.565412022912616	0.000405429223791403	0.000487386702981589
"3-hydroxybutanoic acid "	0.872249363928347	0.183169133609332	0.00241625262003104	0.00461263991776524
"3-hydroxypyridine"	-0.450307720593749	0.54905268180251	0.0191782517820281	0.00578512191907495
"3-phenyllactic acid"	1.61136230658545	0.442973589979382	0.0352084285342716	0.00512111035093548
"3-phosphoglycerate"	0.437719659196196	0.514561614050625	0.0147166711315958	0.00363325157772906
"4-hydroxybutyric acid"	0.498702693108486	0.667911662879729	0.0196956373913019	0.0189920223785724
"5-hydroxypiperidine-2-carboxylic acid"	-0.111621950653034	0.945456512718292	0.101030841654138	0.0969766727548085
"adenine"	1.09311558495539	0.413675160607389	0.0407441325050659	0.0130140122278509
"adenosine-5-monophosphate"	-0.364876166016188	0.766081697680536	0.0443540520619505	0.0567574552244345
"alanine"	0.839518558472077	0.538602230774412	0.01790131470869	0.0169472344426012
"alanine 3TMS"	2.04982766145333	0.411904091623633	0.00408717733600311	0.00077340734797342
"arachidic acid"	-0.642318919410345	0.286557965350174	0.00463751377628909	0.0125833867789154
"aspartic acid"	-0.378955683136698	0.741513314006951	0.0104317442316806	0.00983935354076784
"benzylalcohol"	1.27628542933165	0.369346395704763	0.0144995643289513	0.0011806562068163
"beta-alanine"	1.76932561389181	0.352431087783699	0.00640582869042602	0.000593284011040723
"butane-2,3-diol (NIST)"	1.02749301083005	0.425789666882572	0.00786896655297881	0.00337828722716899
"butyrolactam NIST"	0.453295214236884	0.612249890776294	0.0161671058222024	0.0140003269759166
"cellobiose"	0.484581332884923	0.556729652291301	0.00567182160847627	0.00242661690259573
"cerotic acid"	-0.37450691550283	0.649748830283811	0.00518784356181869	0.0203835553670058
"cystathionine 4TMS NIST"	-0.0156694562658838	0.943791871045374	0.00187331823608576	0.00431835043576245
"cysteine"	0.460493780550349	0.708015912339639	0.0676196395268777	0.0656729720449602
"cysteine-glycine"	-0.208870365551321	0.852591686410495	0.0481446386998969	0.0517019706077964
"elaidic acid"	0.610148191768601	0.709589992662646	0.040611175387332	0.0273495034839247
"ethanolamine"	0.265699107054447	0.549770923802616	0.0125257291280956	0.0015780952175327
"GABA"	0.873628509527582	0.498299186281473	0.0424931046828253	0.0340737652149799
"galactinol 1"	0.501880759226601	0.352618686694141	0.00113748911214546	0.000372670185834307
"galactose"	1.77351113801537	0.12690288930768	0.00116508998487572	0.000535232582653177
"gluconic acid"	3.54874640869175	0.374900305037883	0.001980260654496	0.000109378148822949
"glucose 2"	2.08069496544829	0.116624795360097	0.000275034489200581	0.000105478190603128
"glucose-6-phosphate 1"	0.619095185640302	0.461972334000824	0.0145096674528519	0.00380772318074431
"glutathione"	0.86102358685119	0.398209640847857	0.0486311964049712	0.0273826844129481
"glyceric acid"	0.0789849138420591	0.948423668519921	0.0303021322243173	0.0464080896611698
"glycerol"	0.963959664386995	0.606991841260327	0.0197940951170902	0.00481985515484618
"glycerol-alpha-phosphate"	0.767274337222421	0.454055432685492	0.0434886231936481	0.00674704781594541
"glycerol-beta-phosphate RI 571748"	0.270647589943669	0.546656544975444	0.0113326230651725	0.0175019111972455
"glycine"	0.39922853320932	0.795976658458154	0.0789440872539681	0.086090163559081
"heptadecanoyl-1-glyceride"	-0.123716741585914	0.569184709089045	0.00776340010760812	0.00398931682235453
"homocystine"	-0.218441078819733	0.816063259971079	0.0248576622391019	0.0216425466056727
"homoserine"	0.359309429842608	0.631998786762162	0.0128627262208111	0.00930284126355369
"homoserine minor"	0.626399303799801	0.420827462334749	0.0125342452827019	0.00147739332114502
"hydroxylamine"	-0.139648409600423	0.316487001303308	0.00413137561061876	0.00168602457344336
"isoleucine"	-0.0456925013289036	0.96866951273982	0.0292533765672374	0.0282780345282557
"isoleucine minor"	0.964510854173573	0.515076681455422	0.0315845862575654	0.0116827923270037
"lactic acid"	1.43345634497346	0.410024750014672	0.011486019267248	0.00196185971319482
