"log2(ratio)"	"p-value"	"SD test"	"SD ref"
"2,3-dihydroxybutanoic acid NIST"	-1.43392060897599	0.110390219397851	0.00110552300871409	0.00728314984408574
"2,6-diaminopimelic acid"	2.68140285203367	0.363394291617933	0.0289565272891718	0.000441985654069113
"2-monopalmitin"	2.20552144199355	0.0537798014712755	0.0131522427542069	0.00249470733371014
"2-monostearin NIST"	1.29789378802935	0.0951786595527692	0.0139342377876992	0.00399666643779438
"3,6-anhydrogalactose"	-6.23772902653723	0.0248055702131341	0.000419684087668138	0.0174873023159159
"3-hydroxybutanoic acid "	-2.97141310014009	0.0243566026520164	0.00324248380586073	0.0220028142475874
"3-hydroxypyridine"	-0.734934242068314	0.317961959388449	0.0120724977365668	0.00627195775322785
"3-phenyllactic acid"	1.098525280455	0.531428059127372	0.0379153100725691	0.00544047652269996
"3-phosphoglycerate"	0.909013767501489	0.303832888916577	0.0159528158891861	0.00863936191627984
"4-hydroxybutyric acid"	-0.39176104211591	0.573501829150923	0.00386301862742049	0.0072779838056515
"5-hydroxypiperidine-2-carboxylic acid"	2.58221503266381	0.405664178860521	0.124470206816381	0.00271615982917686
"adenine"	2.44870967578219	0.253115209957219	0.0519164542120602	0.00180234857242765
"adenosine-5-monophosphate"	5.65562392267506	0.218996413251308	0.0341084402635325	0.000609881473470702
"alanine"	-1.32476585612443	0.0704959588325902	0.000461431094447373	0.00771554768689807
"alanine 3TMS"	-4.01701839440246	0.0442134830039257	0.00436318615940282	0.0194580717254996
"arachidic acid"	0.449450378513228	0.233367982772598	0.0063114408266571	0.00397711529999812
"aspartic acid"	-0.576517903246541	0.512722441015146	0.010930082513258	0.00239276626100174
"benzylalcohol"	-2.30597052098439	0.010219573885801	0.0193374236908013	0.0185204338770326
"beta-alanine"	-2.89775758073786	0.0107654738499033	0.00793757612172001	0.011299062034271
"butane-2,3-diol (NIST)"	-2.29389286018469	0.0607176592695838	0.00708557069065006	0.0181638902730483
"butyrolactam NIST"	1.93273120593078	0.181991949049784	6.06763054791437e-05	0.0025752169721742
"cellobiose"	-2.32937954030454	0.0388255961111586	0.00741796525041016	0.014010186319379
"cerotic acid"	-0.746293396321325	0.221202443687132	0.00712193880331774	0.0145216666396931
"cystathionine 4TMS NIST"	-1.05194484265743	0.155631008449947	0.00260596656437289	0.0161320144015068
"cysteine"	6.15624180336672	0.180308440974266	0.0211444187292553	0.000145019956380113
"cysteine-glycine"	2.45821596676	0.265668942500913	0.0662436985402429	0.00448465141735404
"elaidic acid"	3.3616064195794	0.330340237924913	0.00062436234048445	0.00104204418371237
"ethanolamine"	0.302849025785195	0.526992404350393	0.0133675810788557	0.00654735858361412
"GABA"	2.57070742012262	0.221120989264441	0.0116787902431926	0.00295285933924956
"galactinol 1"	-4.40114343244765	0.0656859096445248	0.00153123527346439	0.0253885861373974
"galactose"	-4.67679786694929	0.000329563182333132	0.00158557191365668	0.00321058144209728
"gluconic acid"	-5.31893279550632	0.0331259861734971	0.00255966442367391	0.0181802011871803
"glucose 2"	-6.91158466166286	0.0588730757060011	0.000376991032993506	0.0272439859995223
"glucose-6-phosphate 1"	-0.0025924446165243	0.997147646800309	0.0160800764426775	0.0102532290537794
"glutathione"	3.50236855746986	0.150229719861498	0.0347121082478264	0.00416168654131893
"glyceric acid"	1.55760891758839	0.254750526898897	0.0142721000258146	0.00359603058026676
"glycerol"	-1.70676889809345	0.099914371436905	0.0244387398612312	0.00377131697553177
