"log2(ratio)"	"p-value"	"SD test"	"SD ref"
"2,3-dihydroxybutanoic acid NIST"	-0.497035994019007	0.432307782753919	0.0018214421667382	0.00468870972054729
"2,6-diaminopimelic acid"	1.69800618413314	0.439974301383815	0.0236055585948159	0.00274563735002613
"2-monopalmitin"	0.30246510420281	0.517967723356795	0.0161537370424314	0.0150833284387836
"2-monostearin NIST"	0.119214665779664	0.800159712835265	0.0133181788754211	0.013006713501621
"3,6-anhydrogalactose"	0.279231633361595	0.687844597308002	0.000405429223791403	0.000435226786710274
"3-hydroxybutanoic acid "	0.74005964007488	0.218407511723691	0.00241625262003104	0.00452381932644135
"3-hydroxypyridine"	-0.438587090804592	0.685289541944501	0.0191782517820281	0.0241704867190085
"3-phenyllactic acid"	0.498030947074856	0.771436492257489	0.0352084285342716	0.0305678102896207
"3-phosphoglycerate"	0.337888846879229	0.644859208908089	0.0147166711315958	0.0113778859366756
"4-hydroxybutyric acid"	1.40340279879544	0.325075015532959	0.0196956373913019	0.0127620799142692
"5-hydroxypiperidine-2-carboxylic acid"	1.22129280616058	0.555241723068379	0.101030841654138	0.033207321204265
"adenine"	0.600754946509866	0.576607132334602	0.0407441325050659	0.00412586476766179
"adenosine-5-monophosphate"	-0.985803753631253	0.277207443286186	0.0443540520619505	0.0439273412585036
"alanine"	1.49550790315035	0.314673324848084	0.01790131470869	0.00903406935236316
"alanine 3TMS"	3.25693672922255	0.347918007350898	0.00408717733600311	0.000331607557931521
"arachidic acid"	-0.208102030770278	0.433754046586196	0.00463751377628909	0.0032557695594223
"aspartic acid"	-0.346117903308727	0.820228191760626	0.0104317442316806	0.0155117532967877
"benzylalcohol"	0.928629580577499	0.452660110325421	0.0144995643289513	0.00314397533880961
"beta-alanine"	0.664881766214108	0.630541631825141	0.00640582869042602	0.00415114408041597
"butane-2,3-diol (NIST)"	1.43438557380302	0.335295524475052	0.00786896655297881	0.00217726696929242
"butyrolactam NIST"	1.07537316338217	0.326160057320509	0.0161671058222024	0.0122669511889704
"cellobiose"	1.24909087774354	0.275394276022107	0.00567182160847627	0.00189474459722673
"cerotic acid"	-0.0334031582672138	0.919786488184739	0.00518784356181869	0.00614840420331688
"cystathionine 4TMS NIST"	-0.91302941413628	0.411341289862453	0.00187331823608576	0.0285200796232429
"cysteine"	1.01369634274861	0.482513224717421	0.0676196395268777	0.0600980025912191
