"log2(ratio)"	"p-value"	"SD test"	"SD ref"
"2,3-dihydroxybutanoic acid NIST"	-1.53487818547221	0.0174005629011296	0.0018214421667382	0.0221355965581752
"2,6-diaminopimelic acid"	0.135019525888828	0.919057542947067	0.0236055585948159	0.032807897842363
"2-monopalmitin"	0.877769222384215	0.128638900293443	0.0161537370424314	0.0179141691483776
"2-monostearin NIST"	0.383596384716409	0.384347758761872	0.0133181788754211	0.0133834609154311
"3,6-anhydrogalactose"	-5.35779432368762	0.00145715595555221	0.000405429223791403	0.0432476677309171
"3-hydroxybutanoic acid "	-1.56592427114042	0.0072998897150191	0.00241625262003104	0.0348966093015178
"3-hydroxypyridine"	-0.366036990305869	0.628875970230704	0.0191782517820281	0.013105269114805
"3-phenyllactic acid"	0.368561142701927	0.786606802628163	0.0352084285342716	0.0326507985151375
"3-phosphoglycerate"	0.0656242255470625	0.914196523056113	0.0147166711315958	0.0239573628547401
"4-hydroxybutyric acid"	0.0263403921787805	0.972978129807693	0.0196956373913019	0.020020058212491
"5-hydroxypiperidine-2-carboxylic acid"	1.38774640388197	0.520304867046248	0.101030841654138	0.0391735446995827
"adenine"	0.735589673298094	0.522730664175451	0.0407441325050659	0.0300778059636349
"adenosine-5-monophosphate"	0.567667522101276	0.626122581254095	0.0443540520619505	0.0446434589833582
"alanine"	-0.372189397737512	0.630172142846478	0.01790131470869	0.0305421667992306
"alanine 3TMS"	-3.23611144643828	0.0154512753962028	0.00408717733600311	0.0470520133337857
"arachidic acid"	-0.0501275089288175	0.853851085423856	0.00463751377628909	0.00967704558998099
"aspartic acid"	-1.44050482172323	0.192454214255789	0.0104317442316806	0.050485002715941
"benzylalcohol"	-0.907377657162014	0.229316211056765	0.0144995643289513	0.0283164847551656
"beta-alanine"	-2.38402296226401	0.0056196311202301	0.00640582869042602	0.0362966131961253
"butane-2,3-diol (NIST)"	-0.881796696465234	0.290900988187644	0.00786896655297881	0.0236939549214225
"butyrolactam NIST"	0.33366111638788	0.651262891758735	0.0161671058222024	0.021763984008605
"cellobiose"	-1.91340856649362	0.00794580368924613	0.00567182160847627	0.0335447565724496
"cerotic acid"	-0.513509369138282	0.0858681884111772	0.00518784356181869	0.0176899701363682
"cystathionine 4TMS NIST"	-0.75972179641497	0.0612077884749054	0.00187331823608576	0.0312389149177079
"cysteine"	1.56044968537625	0.305871244645873	0.0676196395268777	0.0455963921660541
"cysteine-glycine"	0.840812186203305	0.498941403175832	0.0481446386998969	0.0312049288253883
"elaidic acid"	0.830552199736096	0.60325931906021	0.040611175387332	0.0270988774555339
"ethanolamine"	0.0918716558006733	0.823323265878506	0.0125257291280956	0.011858156064929
"GABA"	1.24073796378384	0.347360710129998	0.0424931046828253	0.0246375316809748
"galactinol 1"	-3.59191749590818	0.00294926806886752	0.00113748911214546	0.0414876818410417
"galactose"	-3.8407440234851	5.08258388961511e-05	0.00116508998487572	0.0277099553827178
"gluconic acid"	-4.64823133924394	0.00276266353411554	0.001980260654496	0.0470043077462709
"glucose 2"	-5.88530981450168	0.000270627506914437	0.000275034489200581	0.0323726294452318
"glucose-6-phosphate 1"	-0.29977404011986	0.643902846005685	0.0145096674528519	0.0268328102557841
"glutathione"	1.23544448979541	0.284996810101043	0.0486311964049712	0.0458822185792387
"glyceric acid"	0.528482957704105	0.545536993128782	0.0303021322243173	0.0244603901862578
"glycerol"	-1.05112845031447	0.30896284715364	0.0197940951170902	0.019380149963186
"glycerol-alpha-phosphate"	1.13653289076176	0.34620582636568	0.0434886231936481	0.0206474385280871
"glycerol-beta-phosphate RI 571748"	0.707524892412069	0.0866848959484905	0.0113326230651725	0.0147085903466247
"glycine"	1.48526496318233	0.39091257728174	0.0789440872539681	0.0518069874998297
"heptadecanoyl-1-glyceride"	0.486106862554452	0.130084131769603	0.00776340010760812	0.0160587534668802
"homocystine"	0.374095078495346	0.694420517107613	0.0248576622391019	0.0173248424894505
"homoserine"	0.430591159590431	0.537558936433021	0.0128627262208111	0.0124841831460835
"homoserine minor"	-0.312224898046434	0.589803337769346	0.0125342452827019	0.0206632734743368
"hydroxylamine"	0.0868567073265988	0.565357742715212	0.00413137561061876	0.00806415660379736
"isoleucine"	-0.0746579577183439	0.934652388903626	0.0292533765672374	0.028295252705975
