	log2(ratio)	p-value	SD test	SD ref
"2,3-dihydroxybutanoic acid NIST"	-0.379624671	0.343425485	0.001618077	0.001821442
"2,6-diaminopimelic acid"	-1.831311193	0.425358231	0.003805986	0.023605559
2-monopalmitin	0.104532553	0.774164851	0.012049256	0.016153737
2-monostearin NIST	0.190962266	0.657350833	0.013246171	0.013318179
"3,6-anhydrogalactose"	-0.458377402	0.565412023	0.000487387	0.000405429
3-hydroxybutanoic acid 	-0.872249364	0.183169134	0.00461264	0.002416253
3-hydroxypyridine	0.450307721	0.549052682	0.005785122	0.019178252
3-phenyllactic acid	-1.611362307	0.44297359	0.00512111	0.035208429
3-phosphoglycerate	-0.437719659	0.514561614	0.003633252	0.014716671
4-hydroxybutyric acid	-0.498702693	0.667911663	0.018992022	0.019695637
5-hydroxypiperidine-2-carboxylic acid	0.111621951	0.945456513	0.096976673	0.101030842
adenine	-1.093115585	0.413675161	0.013014012	0.040744133
adenosine-5-monophosphate	0.364876166	0.766081698	0.056757455	0.044354052
alanine	-0.839518558	0.538602231	0.016947234	0.017901315
alanine 3TMS	-2.049827661	0.411904092	0.000773407	0.004087177
arachidic acid	0.642318919	0.286557965	0.012583387	0.004637514
aspartic acid	0.378955683	0.741513314	0.009839354	0.010431744
benzylalcohol	-1.276285429	0.369346396	0.001180656	0.014499564
beta-alanine	-1.769325614	0.352431088	0.000593284	0.006405829
"butane-2,3-diol (NIST)"	-1.027493011	0.425789667	0.003378287	0.007868967
butyrolactam NIST	-0.453295214	0.612249891	0.014000327	0.016167106
cellobiose	-0.484581333	0.556729652	0.002426617	0.005671822
cerotic acid	0.374506916	0.64974883	0.020383555	0.005187844
cystathionine 4TMS NIST	0.015669456	0.943791871	0.00431835	0.001873318
cysteine	-0.460493781	0.708015912	0.065672972	0.06761964
cysteine-glycine	0.208870366	0.852591686	0.051701971	0.048144639
elaidic acid	-0.610148192	0.709589993	0.027349503	0.040611175
ethanolamine	-0.265699107	0.549770924	0.001578095	0.012525729
GABA	-0.87362851	0.498299186	0.034073765	0.042493105
galactinol 1	-0.501880759	0.352618687	0.00037267	0.001137489
galactose	-1.773511138	0.126902889	0.000535233	0.00116509
gluconic acid	-3.548746409	0.374900305	0.000109378	0.001980261
glucose 2	-2.080694965	0.116624795	0.000105478	0.000275034
glucose-6-phosphate 1	-0.619095186	0.461972334	0.003807723	0.014509667
glutathione	-0.861023587	0.398209641	0.027382684	0.048631196
glyceric acid	-0.078984914	0.948423669	0.04640809	0.030302132
glycerol	-0.963959664	0.606991841	0.004819855	0.019794095
glycerol-alpha-phosphate	-0.767274337	0.454055433	0.006747048	0.043488623
glycerol-beta-phosphate RI 571748	-0.27064759	0.546656545	0.017501911	0.011332623
glycine	-0.399228533	0.795976658	0.086090164	0.078944087
heptadecanoyl-1-glyceride	0.123716742	0.569184709	0.003989317	0.0077634
homocystine	0.218441079	0.81606326	0.021642547	0.024857662
homoserine	-0.35930943	0.631998787	0.009302841	0.012862726
homoserine minor	-0.626399304	0.420827462	0.001477393	0.012534245
hydroxylamine	0.13964841	0.316487001	0.001686025	0.004131376
isoleucine	0.045692501	0.968669513	0.028278035	0.029253377
isoleucine minor	-0.964510854	0.515076681	0.011682792	0.031584586
lactic acid	-1.433456345	0.41002475	0.00196186	0.011486019
lauric acid	-0.749394707	0.424793067	0.006926123	0.011665995
leucine	0.195565636	0.877867118	0.044448871	0.048212485
levoglucosan	-1.168095331	0.357559884	0.000656607	0.010909892
maleic acid	0.117493022	0.938784114	0.005577172	0.005893452
malic acid	-0.559340751	0.601271781	0.000136183	0.000607322
mannose-6-phosphate NIST	-1.956990234	0.390699466	0.018669586	0.088175716
methionine	-1.20413896	0.440366804	0.002896005	0.040400689
methylhexadecanoic acid	0.475460995	0.534980476	0.018151738	0.004867226
monomyristin NIST	-0.636351593	0.154254767	0.011282359	0.006489914
myristic acid	-1.641747379	0.307986188	0.024354658	0.053016749
N-acetylaspartic acid 2	-0.305451501	0.704694921	0.001851711	0.0013951
N-acetyl-D-hexosamine	-0.969626351	0.329466424	0.002515504	0.00512367
N-butylamine NIST	-0.465623339	0.42267774	0.001947381	0.003825458
N-carbamoylaspartate	-0.369375257	0.517632889	1.33E-05	0.000121874
nicotinamide	-0.585281258	0.442370219	0.019124579	0.020484601
N-methylalanine	0.450600166	0.56690396	0.010695966	0.012502861
O-acetylserine	-2.785724906	0.420145387	0.000205386	0.005356759
ornithine 3TMS minor	-0.536819815	0.569845113	0.005951662	0.024088108
orotic acid	-2.013155745	0.36004331	0.002371123	0.010762884
oxalic acid	0.891893942	0.4030598	0.016941596	0.005150421
oxoproline	-0.384026051	0.454729017	0.00408702	0.001979471
palmitic acid	-0.304711867	0.553229985	0.013240398	0.010525699
