"log2(ratio)"	"p-value"	"SD test"	"SD ref"
"2,3-dihydroxybutanoic acid NIST"	-1.93012598495286	0.00727109481289126	0.00161807671515244	0.0220071585221088
"2,6-diaminopimelic acid"	-1.84381081666885	0.0774000299295929	0.00380598575446093	0.0332378420722042
"2-monopalmitin"	1.00972603590574	0.040675819817238	0.0120492557471978	0.0175355630059645
"2-monostearin NIST"	0.611346567427792	0.189624935888933	0.0132461706896009	0.012737474405105
"3,6-anhydrogalactose"	-5.81747699788252	0.00135604409268452	0.000487386702981589	0.0432218658145492
"3-hydroxybutanoic acid "	-2.46801085475389	0.00144156297836067	0.00461263991776524	0.0343353949605879
"3-hydroxypyridine"	0.14130229392485	0.558888563402318	0.00578512191907495	0.0144103020118211
"3-phenyllactic acid"	-1.40428078345752	0.0607952630744624	0.00512111035093548	0.0340119348282412
"3-phosphoglycerate"	-0.424994042281924	0.256060333558595	0.00363325157772906	0.0242521968453619
"4-hydroxybutyric acid"	-0.529760656855281	0.558193920809672	0.0189920223785724	0.0198917105960075
"5-hydroxypiperidine-2-carboxylic acid"	1.5413848019177	0.452377085629487	0.0969766727548085	0.0391067547694545
"adenine"	-0.521828203340933	0.395457363124246	0.0130140122278509	0.0328270424353221
"adenosine-5-monophosphate"	1.01899107753344	0.457639733031246	0.0567574552244345	0.0422824678449627
"alanine"	-1.27725243448963	0.214176247337481	0.0169472344426012	0.0300619770400168
"alanine 3TMS"	-5.30168915670998	0.00720086006953444	0.00077340734797342	0.0468585580911148
"arachidic acid"	0.702898545937553	0.260796424674474	0.0125833867789154	0.00806095039511909
"aspartic acid"	-1.03960915584119	0.286341019364789	0.00983935354076784	0.0506207861826882
"benzylalcohol"	-2.24396907335191	0.000339810002525623	0.0011806562068163	0.0276996169737839
"beta-alanine"	-4.17973858106118	0.000473967436726616	0.000593284011040723	0.0358389865640053
"butane-2,3-diol (NIST)"	-1.9626792982904	0.0253481994540347	0.00337828722716899	0.0235090874146993
"butyrolactam NIST"	-0.184978224055124	0.802683271231529	0.0140003269759166	0.0219658560041785
"cellobiose"	-2.41281309096665	0.00173373309261946	0.00242661690259573	0.0333340510815527
"cerotic acid"	-0.0975656505568079	0.887577080179894	0.0203835553670058	0.01690793746071
"cystathionine 4TMS NIST"	-0.74278292076152	0.0790678408790528	0.00431835043576245	0.0312284909623123
"cysteine"	0.949518604572516	0.540312727517262	0.0656729720449602	0.0485515950652143
"cysteine-glycine"	1.10564522278409	0.395032311991896	0.0517019706077964	0.0296034251170618
"elaidic acid"	0.104528238040086	0.935071161481554	0.0273495034839247	0.0290914461617376
"ethanolamine"	-0.208670149803037	0.16836910906039	0.0015780952175327	0.0124009491147249
"GABA"	0.170028502719089	0.890607470605882	0.0340737652149799	0.0279124838910927
"galactinol 1"	-4.09858401389281	0.00226360581201661	0.000372670185834307	0.0414065698900463
"galactose"	-5.62393715413539	2.18986776324058e-05	0.000535232582653177	0.0274573480896116
"gluconic acid"	-8.2041349778332	0.00185851173347493	0.000109378148822949	0.0468710505802211
"glucose 2"	-7.96854400800809	0.000227466851625119	0.000105478190603128	0.0323196189707623
"glucose-6-phosphate 1"	-0.973583139596666	0.0354216504957778	0.00380772318074431	0.0268004701391537
"glutathione"	0.179952187819079	0.823752329348448	0.0273826844129481	0.0495967406352165
"glyceric acid"	0.434458587479955	0.739976449382483	0.0464080896611698	0.0220902937244676
