Vimss ID	Upstream	Synonymous	Nonsynonymous	Downstream	EC numbers	Names of metabolites	Log2 ratio	p-value	SD test	SD ref	TF binding sites	Sigma sites	Ortholog	Max ratio	Gene name	Annotation	Direction of reaction	Nonsynonymous mutation	Identity of BLAST match	Vimss ID	Upstream	Synonymous	Nonsynonymous	Downstream	EC numbers	Names of metabolites	Log2 ratio	p-value	SD test	SD ref	TF binding sites	Sigma sites	Ortholog	Max ratio	Gene name	Annotation	Direction of reaction	Nonsynonymous mutation		
16571	0	19	0	0	3.5.1.18	"2,6-diaminopimelic acid"	1.831311193	0.425358231	0.023605559	0.003805986		 Sigma70	3474544	1.831311193	dapE	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases	product	0		3474544	0	19	0	0	3.5.1.18	"2,6-diaminopimelic acid"	-1.831311193	0.425358231	0.003805986	0.023605559		 Sigma70	16571	-1.831311193	dapE	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases	product			
17858	0	0	0	0	5.1.1.7	"2,6-diaminopimelic acid"	1.831311193	0.425358231	0.023605559	0.003805986		Sigma70	3475987	1.831311193	dapF	Diaminopimelate epimerase	reactant	 		3475987	0	0	0	0	5.1.1.7	"2,6-diaminopimelic acid"	-1.831311193	0.425358231	0.003805986	0.023605559		Sigma70	17858	-1.831311193	dapF	Diaminopimelate epimerase	reactant			
14305	0	0	1	0	"3.2.2.16,3.2.2.9"	"adenine , adenine"	"1.09311558495539 , 1.09311558495539"	"0.413675160607389 , 0.413675160607389"	"0.0407441325050659 , 0.0407441325050659"	"0.0130140122278509 , 0.0130140122278509"			3472115	1.093115585	pfs	Nucleoside phosphorylase	product	K 22 -> N 22		3472115	0	0	1	0	"3.2.2.16,3.2.2.9"	"adenine , adenine"	"-1.09311558495539 , -1.09311558495539"	"0.413675160607389 , 0.413675160607389"	"0.0130140122278509 , 0.0130140122278509"	"0.0407441325050659 , 0.0407441325050659"			14305	-1.093115585	mtnN	Nucleoside phosphorylase	product	N 22 -> K 22		
15858	0	0	0	0	"6.3.1.5,6.3.5.1"	adenosine-5-monophosphate	-0.364876166	0.766081698	0.044354052	0.056757455		Sigma70	3473767	0.364876166	nadE	NAD synthase	 	 		3473767	0	0	0	0	6.3.1.5	adenosine-5-monophosphate	0.364876166	0.766081698	0.056757455	0.044354052			15858	0.364876166	nadE	NAD synthase	product			
16606	0	18	0	0	"6.3.5.2,6.3.4.1"	"adenosine-5-monophosphate , adenosine-5-monophosphate"	"-0.364876166016188 , -0.364876166016188"	"0.766081697680536 , 0.766081697680536"	"0.0443540520619505 , 0.0443540520619505"	"0.0567574552244345 , 0.0567574552244345"	 CRP DnaA Fis PurR	 Sigma70	3474597	-0.364876166	guaA	"GMP synthase, PP-ATPase domain/subunit"	product	0		3474597	0	18	0	0	6.3.5.2	adenosine-5-monophosphate	0.364876166	0.766081698	0.056757455	0.044354052	 CRP DnaA Fis PurR	 Sigma70	16606	0.364876166	guaA	"GMP synthase, PP-ATPase domain/subunit"	product			
1937204	0	0	0	0	3.6.1.22	adenosine-5-monophosphate	-0.364876166	0.766081698	0.044354052	0.056757455		Sigma70	3476184	0.364876166	nudC	"NTP pyrophosphohydrolases containing a Zn-finger, probably nucleic-acid-binding"	 	 		3476184	0	0	0	0	3.6.1.22	adenosine-5-monophosphate	0.364876166	0.766081698	0.056757455	0.044354052		Sigma70	1937204	0.364876166	nudC	"NTP pyrophosphohydrolases containing a Zn-finger, probably nucleic-acid-binding"	product			
16828	0	1	0	0	"3.1.3.5,3.1.3.6"	"adenosine-5-monophosphate , phosphoric acid"	"-0.364876166016188 , 0.688589475140754"	"0.766081697680536 , 0.218766561334181"	"0.0443540520619505 , 0.0166613353448738"	"0.0567574552244345 , 0.0101369418270666"		 Sigma70	3474826	0.688589475	surE	Predicted acid phosphatase	product	0		3474826	0	1	0	0	"3.1.3.5,3.1.3.6,3.6.1.11"	"adenosine-5-monophosphate , phosphoric acid , phosphoric acid"	"0.364876166016188 , -0.688589475140754 , -0.688589475140754"	"0.766081697680536 , 0.218766561334181 , 0.218766561334181"	"0.0567574552244345 , 0.0101369418270666 , 0.0101369418270666"	"0.0443540520619505 , 0.0166613353448738 , 0.0166613353448738"		 Sigma70	16828	-0.688589475	surE	Predicted acid phosphatase	product			
15799	0	11	3	0	"2.8.1.7,4.4.1.16"	"alanine , alanine"	"0.839518558472077 , 0.839518558472077"	"0.538602230774412 , 0.538602230774412"	"0.01790131470869 , 0.01790131470869"	"0.0169472344426012 , 0.0169472344426012"	 Fur IHF IscR NsrR OxyR	 Sigma70	3473706	0.839518558	sufS	Selenocysteine lyase	product	"L 209 -> P 209 ,  Q 75 -> R 75 ,  T 2 -> I 2"		3473706	0	11	3	0	"2.8.1.7,4.4.1.16"	"alanine , alanine"	"-0.839518558472077 , -0.839518558472077"	"0.538602230774412 , 0.538602230774412"	"0.0169472344426012 , 0.0169472344426012"	"0.01790131470869 , 0.01790131470869"	 Fur IHF IscR NsrR OxyR	 Sigma70	15799	-0.839518558	sufS	Selenocysteine lyase	product	"P 209 -> L 209 ,  R 75 -> Q 75 ,  I 2 -> T 2"		
15052	0	3	0	0	"2.6.1.1,2.6.1.57"	"aspartic acid , aspartic acid"	"-0.378955683136698 , -0.378955683136698"	"0.741513314006951 , 0.741513314006951"	"0.0104317442316806 , 0.0104317442316806"	"0.00983935354076784 , 0.00983935354076784"	 FNR Fur		3472985	-0.378955683	aspC	Aspartate/tyrosine/aromatic aminotransferase	product	0		3472985	0	3	0	0	2.6.1.1	aspartic acid	0.378955683	0.741513314	0.009839354	0.010431744	 FNR Fur		15052	0.378955683	aspC	Aspartate/tyrosine/aromatic aminotransferase	reactant			
14277	0	3	0	0	4.1.1.11	beta-alanine	1.769325614	0.352431088	0.006405829	0.000593284			3472087	1.769325614	panD	Aspartate 1-decarboxylase	product	0		3472087	0	3	0	0	4.1.1.11	beta-alanine	-1.769325614	0.352431088	0.000593284	0.006405829			14277	-1.769325614	panD	Aspartate 1-decarboxylase	product			
