"V1"	"V2"	"V3"
"1"	"16571"	"No"	"0"
"2"	"17858"	"No"	"0"
"3"	"14305"	"No"	"0"
"4"	"15858"	"No"	"0"
"5"	"16606"	"No"	"0"
"6"	"1937204"	"No"	"0"
"7"	"16828"	"No"	"0"
"8"	"15799"	"No"	"0"
"9"	"15052"	"No"	"0"
"10"	"14277"	"No"	"0"
"11"	"15228"	"No"	"0"
"12"	"16240"	"No"	"0"
"13"	"17592"	"Yes"	"0"
"14"	"17085"	"No"	"0"
"15"	"17978"	"Yes"	"0"
"16"	"15056"	"No"	"0"
"17"	"17508"	"No"	"0"
"18"	"18285"	"Yes"	"0"
"19"	"17006"	"Yes"	"0"
"20"	"17498"	"Yes"	"0"
"21"	"17613"	"No"	"0"
"22"	"18293"	"No"	"0"
"23"	"15155"	"No"	"0"
"24"	"16348"	"Yes"	"0"
"25"	"16349"	"No"	"0"
"26"	"17488"	"No"	"0"
"27"	"14148"	"No"	"0"
"28"	"16447"	"No"	"0"
"29"	"18041"	"No"	"0"
"30"	"1937119"	"Yes"	"0"
"31"	"17666"	"No"	"0"
"32"	"16318"	"No"	"0"
"33"	"16562"	"No"	"0"
"34"	"15184"	"Yes"	"0"
"35"	"15886"	"No"	"0"
"36"	"14411"	"Yes"	"0"
"37"	"17996"	"No"	"0"
"38"	"18279"	"No"	"0"
"39"	"15069"	"No"	"0"
"40"	"17703"	"No"	"0"
"41"	"16129"	"No"	"0"
"42"	"16694"	"No"	"0"
"43"	"17981"	"Yes"	"0"
"44"	"15311"	"No"	"0"
"45"	"16418"	"No"	"0"
"46"	"17889"	"No"	"0"
"47"	"16506"	"No"	"0"
"48"	"14524"	"No"	"0"
"49"	"15138"	"Yes"	"0"
"50"	"1937180"	"No"	"0"
"51"	"14553"	"No"	"0"
"52"	"18182"	"Yes"	"0"
"53"	"14149"	"No"	"0"
"54"	"17677"	"No"	"0"
"55"	"14475"	"No"	"0"
