	HS_Glcn_C	HS_Glcn_S	HS_Glu_C	HS_Glu_S	HS_Gly_C	HS_Gly_S
[1045] putrescine [15.709]	4.116165767	0.261566172	1.062598691	8059835.875	1.154503465	0.421234102
[754] glycerol 1-phosphate [16.056]	2.407783886	1276355	2.585068182	896549	0.723807271	3214685
[33032] L-glutamic acid 2 [14.398]	0.293400872	194780.5	23.85328812	735349.875	0.363553755	748706.875
[145742] L-proline 2 [10.321]	1.691858832	266565.125	21.24480745	649190.25	0.887418002	154643.625
[6106] L-leucine 2 [9.945]	0.923513445	242543.875	12.07821594	596806.625	0.240864217	103121.125
[6057] L-tyrosine 1 [17.345]	1008555	542342.75	672230.25	439626.25	4.963448971	368848.625
[70914] N-acetyl-L-glutamic acid 1 [13.063]	0.324892593	0.392296105	4.366024863	399633.125	2.111784148	844009.25
[597] cytosine 2 [13.255]	0	0	0	300564.125	0	0.423804553
[7427] D-(+) trehalose [24.752]	3703596.5	1851798.75	561625.5	280813.25	0	0
[10712] cellobiose 1 [24.444]	3661642.25	1830821.625	556239.5	278120.25	0	0
[445639] oleic acid [20.504]	0	0	0.467472196	130342.5	28734.5	27407.5
[5288725] N-methylalanine [8.43]	0	0	241334.75	120667.875	0	0
[1000] 2-amino-1-phenylethanol_ [15.668]	0	0	239919.25	119960.125	0.598944833	843144.125
[5280450] linoleic acid [20.399]	0	0	1.259294393	111013.125	23548	27891
[790] hypoxanthine [16.479]	0	0	0	105999.25	0	0.254989139
[6288] L-threonine 2 [11.464]	0	53519.875	195695	97848	0	27691.75
[5951] L-serine 2 [11.174]	5.720171758	94249.625	113925.75	56963.375	0.892775796	150739.875
[445638] palmitoleic acid [18.728]	0	0	0.319240808	51356.25	33439.5	16720.25
[13945] 2-deoxycytidine 5-monophosphoric acid [16.352]	25846	12923.5	80457.75	40229.375	0	0
[6613] pantothenic acid 2 [18.371]	0	66039.125	65463	32732	1.931147903	37135.75
[1176] urea [9.599]	0	0	47522.25	23761.625	0	0
[457] 1-methyl nicotinamide 1 [12.736]	184032	92016.5	46161.25	23081.125	1.196729983	69855.125
[70] 2-ketoisocaproic acid 2 [9.041]	0	0	0	20622.75	0	0
[1088] sarcosine [8.032]	0	288368.25	0	18551.5	0	0
[16219957] sedoheptulose anhydride monohydrate [17.766]	0	314018.375	0	17999.875	1.20665257	0.172421204
[750] glycine [10.456]	1.082214409	2.585488175	16.48695031	34.55602584	0.614187158	3.794018106
[45] tartronic acid [11.523]	0	0.099548486	30977.75	17.09907385	0	0.035716594
[33032] L-glutamic acid 3 (dehydrated) [13.232]	0.832772131	2.029450739	2.712870998	13.69309651	0.573821275	5.799834513
[791] DL-isoleucine 2 [10.225]	40.67572863	1037994.25	21.91077843	12.2849994	0.916336545	168164.75
[439665] threose 2 [12.371]	0	0.735702791	228349.5	5.333357802	0	0.04673871
[1110] succinic acid [10.509]	1.469228733	2.628125776	25.07250392	3.806794592	1.029137327	7.843038837
[6287] L-valine 2 [9.151]	1.644283341	1152584.75	5.730772244	3.461156173	3.396000469	3258738.875
[24749] D-glucose 1 [17.426]	402932.25	0.219495088	0.535231836	3.241979958	2.159847069	0.116470061
[604] gluconic acid 2 [18.297]	0.222907056	0.042406291	35.0335919	3.173065577	1675470.5	8.87312095
[444212] trans-aconitic acid [15.842]	0.975537682	0.279077285	0.615673078	2.805996357	1.861761507	0.86700029
[6287] L-valine 1 [7.296]	3.782857973	497732.875	10.35581834	2.144790024	4.516053417	1402545
[5950] L-alanine 1 [7.495]	0.559632443	399866.625	2.070901922	1.85766375	0.758695773	1898553.5
[444972] fumaric acid [10.94]	2.473135498	0.673782757	189790.75	1.18650801	0.799207247	162342.375
[3893] lauric acid [14.789]	0	0	0.457763999	1.171447938	0	32846.125
[1135] thymine [11.599]	0.759825184	1.115419205	1.864160085	1.136116567	0	0.345843251
[36] 2-isopropylmalic acid [13.836]	0	186860.625	232223	1.046443635	0	14716.75
