"V1"	"V2"	"V3"	"V4"
"1"	" 3471955"	"homoserine , aspartic acid"	"   14147"	"aspartic acid"
"2"	" 3471984"	""	"   14175"	"adenine"
"3"	" 3471993"	"adenosine-5-monophosphate"	"   14183"	""
"4"	" 3471994"	"malic acid"	"   14184"	""
"5"	" 3472069"	"glycine"	"   14259"	""
"6"	" 3472099"	""	"   14290"	"adenosine-5-monophosphate"
"7"	" 3472142"	""	"   14333"	"glutathione"
"8"	" 3472157"	"phosphoric acid"	"   14346"	""
"9"	" 3472200"	"glucose-6-phosphate 1"	"   14358"	""
"10"	" 3472342"	""	"   14463"	"glycerol"
"11"	" 3472366"	"succinic acid"	"   14487"	""
"12"	" 3472383"	"phosphoric acid"	"   14504"	""
"13"	" 3472414"	"glyceric acid"	"   14532"	""
"14"	" 3472438"	"succinic acid"	"   14553"	"succinic acid , phosphoric acid"
"15"	" 3472477"	"phosphoric acid"	"   14586"	""
"16"	" 3472478"	"phosphoric acid"	"   14587"	""
"17"	" 3472485"	""	"   14593"	"phosphoric acid"
"18"	" 3472543"	""	"   14653"	"glucose-6-phosphate 1"
"19"	" 3472642"	"phosphoric acid"	"   14775"	""
"20"	" 3472770"	"phosphoric acid"	"   14891"	""
"21"	" 3472806"	""	"   14926"	"malic acid"
"22"	" 3472832"	"glutathione , methionine"	"   14949"	"methionine"
"23"	" 3472833"	"phosphoethanolamine"	"   14950"	""
"24"	" 3472855"	"phosphoric acid"	"   14969"	""
"25"	" 3472908"	""	"   14980"	"phosphoric acid"
"26"	" 3472949"	"glutathione"	"   15018"	""
"27"	" 3472985"	"aspartic acid"	"   15052"	"aspartic acid , aspartic acid"
"28"	" 3473038"	"phosphoric acid , phosphoric acid"	"   15104"	""
"29"	" 3473063"	"phosphoric acid"	"   15126"	""
"30"	" 3473098"	"glyceric acid , glyceric acid"	"   15155"	"glyceric acid , 3-phosphoglycerate"
"31"	" 3473129"	""	"   15181"	"glycine"
"32"	" 3473151"	""	"   15203"	"xylose 2"
"33"	" 3473177"	""	"   15228"	"cellobiose"
