""	""	""	""	""	"EC numbers"	"Names of metabolites"	"Log2 ratio"	"p-value"	"SD test"	"SD ref"	"TF binding sites"	"Sigma sites"	"Is mapped to ortholog"	"Max ratio"	"genename1"	"annotation1"	"direction1"	"nonsynonymous1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"genename2"	"annotation2"	"direction2"	"nonsynonymous2"
"16571"	"0"	"19"	"0"	"0"	"3.5.1.18"	"2,6-diaminopimelic acid"	"1.83131119302084"	"0.425358231350272"	"0.0236055585948159"	"0.00380598575446093"	""	" Sigma70"	"3474544"	"1.83131119302084"	"dapE"	"Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases"	"product"	"0"	"3474544"	"0"	"19"	"0"	"0"	""	""	""	""	""	""	""	" Sigma70"	"16571"	""	"dapE"	"Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases"	"0"	"0"
"14305"	"0"	"0"	"1"	"0"	"3.2.2.16,3.2.2.9"	"adenine , adenine"	"1.09311558495539 , 1.09311558495539"	"0.413675160607389 , 0.413675160607389"	"0.0407441325050659 , 0.0407441325050659"	"0.0130140122278509 , 0.0130140122278509"	""	""	"3472115"	"1.09311558495539 "	"pfs"	"Nucleoside phosphorylase"	"product"	"K 22 -> N 22"	"3472115"	"0"	"0"	"1"	"0"	""	""	""	""	""	""	""	""	"14305"	""	"mtnN"	"Nucleoside phosphorylase"	"0"	"N 22 -> K 22"
"16606"	"0"	"18"	"0"	"0"	"6.3.5.2,6.3.4.1"	"adenosine-5-monophosphate , adenosine-5-monophosphate"	"-0.364876166016188 , -0.364876166016188"	"0.766081697680536 , 0.766081697680536"	"0.0443540520619505 , 0.0443540520619505"	"0.0567574552244345 , 0.0567574552244345"	" CRP DnaA Fis PurR"	" Sigma70"	"3474597"	"-0.364876166016188 "	"guaA"	"GMP synthase, PP-ATPase domain/subunit"	"product"	"0"	"3474597"	"0"	"18"	"0"	"0"	""	""	""	""	""	""	" CRP DnaA Fis PurR"	" Sigma70"	"16606"	""	"guaA"	"GMP synthase, PP-ATPase domain/subunit"	"0"	"0"
"16828"	"0"	"1"	"0"	"0"	"3.1.3.5,3.1.3.6"	"adenosine-5-monophosphate , phosphoric acid"	"-0.364876166016188 , 0.688589475140754"	"0.766081697680536 , 0.218766561334181"	"0.0443540520619505 , 0.0166613353448738"	"0.0567574552244345 , 0.0101369418270666"	""	" Sigma70"	"3474826"	" 0.688589475140754"	"surE"	"Predicted acid phosphatase"	"product"	"0"	"3474826"	"0"	"1"	"0"	"0"	""	""	""	""	""	""	""	" Sigma70"	"16828"	""	"surE"	"Predicted acid phosphatase"	"0"	"0"
"15799"	"0"	"11"	"3"	"0"	"2.8.1.7,4.4.1.16"	"alanine , alanine"	"0.839518558472077 , 0.839518558472077"	"0.538602230774412 , 0.538602230774412"	"0.01790131470869 , 0.01790131470869"	"0.0169472344426012 , 0.0169472344426012"	" Fur IHF IscR NsrR OxyR"	" Sigma70"	"3473706"	"0.839518558472077 "	"sufS"	"Selenocysteine lyase"	"product"	"L 209 -> P 209 ,  Q 75 -> R 75 ,  T 2 -> I 2"	"3473706"	"0"	"11"	"3"	"0"	""	""	""	""	""	""	" Fur IHF IscR NsrR OxyR"	" Sigma70"	"15799"	""	"sufS"	"Selenocysteine lyase"	"0"	"P 209 -> L 209 ,  R 75 -> Q 75 ,  I 2 -> T 2"
"15052"	"0"	"3"	"0"	"0"	"2.6.1.1,2.6.1.57"	"aspartic acid , aspartic acid"	"-0.378955683136698 , -0.378955683136698"	"0.741513314006951 , 0.741513314006951"	"0.0104317442316806 , 0.0104317442316806"	"0.00983935354076784 , 0.00983935354076784"	" FNR Fur"	""	"3472985"	"-0.378955683136698 "	"aspC"	"Aspartate/tyrosine/aromatic aminotransferase"	"product"	"0"	"3472985"	"0"	"3"	"0"	"0"	""	""	""	""	""	""	" FNR Fur"	""	"15052"	""	"aspC"	"Aspartate/tyrosine/aromatic aminotransferase"	"0"	"0"
"14277"	"0"	"3"	"0"	"0"	"4.1.1.11"	"beta-alanine"	"1.76932561389181"	"0.352431087783699"	"0.00640582869042602"	"0.000593284011040723"	""	""	"3472087"	"1.76932561389181"	"panD"	"Aspartate 1-decarboxylase"	"product"	"0"	"3472087"	"0"	"3"	"0"	"0"	""	""	""	""	""	""	""	""	"14277"	""	"panD"	"Aspartate 1-decarboxylase"	"0"	"0"
"15228"	"0"	"2"	"2"	"0"	"3.2.1.21"	"cellobiose"	"0.484581332884923"	"0.556729652291301"	"0.00567182160847627"	"0.00242661690259573"	""	""	"3473177"	"0.484581332884923"	"ycfN"	"Predicted choline kinase involved in LPS biosynthesis"	"reactant"	"F 22 -> Y 22 ,  L 211 -> R 211"	"3473177"	"0"	"2"	"2"	"0"	""	""	""	""	""	""	""	" Sigma70"	"15228"	""	"thiK"	"Predicted choline kinase involved in LPS biosynthesis"	"0"	"Y 22 -> F 22 ,  R 211 -> L 211"
"16240"	"0"	"14"	"0"	"2"	"3.2.1.21"	"cellobiose"	"0.484581332884923"	"0.556729652291301"	"0.00567182160847627"	"0.00242661690259573"	""	" Sigma70"	"3474210"	"0.484581332884923"	"bglX"	"Beta-glucosidase-related glycosidases"	"reactant"	"0"	"3474210"	"0"	"14"	"0"	"2"	""	""	""	""	""	""	""	" Sigma70"	"16240"	""	"bglX"	"Beta-glucosidase-related glycosidases"	"0"	"0"
"17085"	"1"	"12"	"2"	"0"	"4.4.1.8"	"cystathionine 4TMS NIST"	"-0.0156694562658838"	"0.943791871045374"	"0.00187331823608576"	"0.00431835043576245"	" MetJ"	" Sigma70"	"3475137"	"-0.0156694562658838"	"metC"	"Cystathionine beta-lyases/cystathionine gamma-synthases"	"reactant"	"A 81 -> V 81 ,  S 320 -> N 320"	"3475137"	"1"	"12"	"2"	"0"	""	""	""	""	""	""	" MetJ"	" Sigma70"	"17085"	""	"metC"	"Cystathionine beta-lyases/cystathionine gamma-synthases"	"0"	"V 81 -> A 81 ,  N 320 -> S 320"
