types	vimss	upstream				nonsynonymous				synonymous				downstream				ecs	names	log2 ratio	p-value	SD test	SD ref	Max log2 ratio	TF binding sites	Sigma sites	Is mapped to ortholog	Fraction Missing
Coding with metabolites	3472361	0	0	0	0	0	1	0	0	8	8	5	6	0	1	0	0	3.2.1.23	galactose	-1.773511138	0.126902889	0.000535233	0.00116509	-1.77351114	CRP	Sigma32	yes	
Coding with metabolites	3476391	0	0	0	0	2	1	0	0	5	6	10	9	0	0	0	1	"2.7.1.69,2.7.1.-"	"mannose-6-phosphate NIST , glyceric acid"	"-1.95699023422295 , -0.0789849138420592"	"0.390699466355439 , 0.948423668519921"	"0.0186695855359539 , 0.0464080896611698"	"0.0881757159 , 0.0303021322"	1.95699023	CRP	0	yes	
Coding with metabolites	3475076	0	0	0	0	1	0	0	0	7	2	4	10	6	2	2	6	4.1.1.17	ornithine 3TMS minor	-0.536819815	0.569845113	0.005951662	0.024088108	-0.53681981	CRP	0	yes	
Coding with metabolites	3474342	0	0	0	0	1	0	0	0	6	3	3	8	0	0	0	0	"2.1.2.-,4.1.1.-"	"phosphoric acid , phenylpyruvic acid"	"-0.688589475140754 , 0.110040041291688"	"0.218766561334181 , 0.939626764393399"	"0.0101369418270666 , 0.0754680845790009"	"0.0166613353 , 0.0786687160"	0.68858948	0	0	yes	
Coding with metabolites	3476018	0	1	0	0	0	2	1	0	9	8	10	7	0	0	0	0	4.1.1.-	phenylpyruvic acid	0.110040041	0.939626764	0.075468085	0.078668716	0.11004004	0	0	yes	
Coding with metabolites	3474342	0	0	0	0	1	0	0	0	6	3	3	8	0	0	0	0	"2.1.2.-,4.1.1.-"	"phosphoric acid , phenylpyruvic acid"	"-0.688589475140754 , 0.110040041291688"	"0.218766561334181 , 0.939626764393399"	"0.0101369418270666 , 0.0754680845790009"	"0.0166613353 , 0.0786687160"	0.68858948	0	0	yes	
Coding with metabolites	3473077	0	0	0	0	0	0	1	0	35	22	11	11	0	1	0	0	"1.5.1.12,1.5.99.8"	proline	0.275002843	0.807992052	0.018159289	0.021561528	0.27500284	BasR	0	yes	
Coding with metabolites	3474886	0	0	0	0	0	1	0	0	7	7	3	4	0	0	0	1	"4.3.1.17,4.3.1.19"	"serine , serine"	"0.449554613586908 , 0.449554613586908"	"0.736993715019967 , 0.736993715019967"	"0.0559320075913761 , 0.0559320075913761"	"0.0657396773 , 0.0657396773"	0.44955461	0	0	yes	
Upstream with metabolites	3474210	1	1	0	0	0	0	0	0	6	0	4	4	1	0	2	0	3.2.1.21	cellobiose	-0.484581333	0.556729652	0.002426617	0.005671822	-0.48458133	0	0	yes	
Upstream with metabolites	3475137	0	1	0	0	0	0	0	0	2	1	4	7	2	0	0	0	4.4.1.8	cystathionine 4TMS NIST	0.015669456	0.943791871	0.00431835	0.001873318	0.01566946	MetJ	0	yes	
Upstream with metabolites	3476312	2	0	3	2	0	0	0	0	1	3	3	0	0	0	0	0	3.2.1.22	galactinol 1	-0.501880759	0.352618687	0.00037267	0.001137489	-0.50188076	CRP	0	yes	
Upstream with metabolites	3475209	1	0	0	1	0	0	0	0	15	12	8	10	0	0	0	0	3.2.1.23	galactose	-1.773511138	0.126902889	0.000535233	0.00116509	-1.77351114	CRP	0	yes	
