locusId	orth331112.locusId
14146	3471954
14147	3471955
14148	3471956
14149	3471957
14150	
14151	3471959
14152	3471960
14153	3471961
14154	3471962
14155	3471963
14156	3471964
14158	3471965
14159	3471967
14160	3471968
14161	
14163	
1936200	
1936201	
14164	3471971
14165	3471972
14166	
14167	
14168	3471977
14169	3471978
14170	3471979
14171	3471980
14172	3471981
14173	
14174	3471983
14175	3471984
14176	3471985
14177	3471987
14178	3471988
14180	3471990
14181	3471991
14182	3471992
14183	3471993
14184	3471994
14185	3471995
14186	3471996
14187	3471999
14188	3472000
14189	3472001
14190	3472002
14191	3472003
14192	3472004
14193	3472005
14194	3472006
14195	3472007
14196	3472008
14197	3472009
14198	3472010
14199	3472011
14200	3472012
14201	3472013
3446137	
14204	3472014
14205	3472015
14206	3472016
14207	3472017
14208	3472018
14209	3472019
14210	3472020
14211	3472021
14212	3472022
14213	3472023
14214	3472024
14215	3472026
1936206	
7497338	
1936207	3472027
14217	3472028
14218	3472029
14219	3472030
14220	3472031
14221	3472032
14222	3472033
1936210	3472035
14224	3472036
14226	3472038
14227	3472039
14228	3472040
14229	3472041
14230	3472042
14231	3472043
14232	3472044
14233	
14234	3472046
14235	3472047
14236	3472048
14237	3472049
14238	3472050
14239	3472051
14240	3472052
14241	3472053
14242	3472054
14243	3472055
14244	3472056
14245	3472057
14247	3472058
14248	3472059
14249	3472060
14250	3472061
14252	3472062
14253	3472063
14254	
14255	3472065
14256	3472066
14257	3472067
14258	3472068
14259	3472069
14260	3472070
14261	3472071
14262	3472072
14263	3472073
14264	3472074
14265	3472075
14266	3472076
14267	3472077
14268	3472078
14269	3472079
14270	3472080
14271	3472081
14272	3472082
14273	3472083
14274	3472084
14275	3472085
14276	3472086
14277	3472087
14278	3472088
14279	3472089
14280	3472090
14281	
14282	3472092
14283	
14284	
14285	
14286	3472095
14287	
14288	3472097
14289	3472098
14290	3472099
14291	3472100
14292	3472101
14293	3472102
14294	3472103
14295	3472104
14296	3472106
14297	3472107
14298	3472108
14299	3472109
14300	3472110
14301	3472111
14302	3472112
14303	3472113
14304	3472114
14305	3472115
14306	3472116
14307	3472117
14308	3472118
14309	3472119
14310	
14312	3472120
14313	3472121
14314	3472122
1936221	
14315	3472124
14316	3472125
14317	3472126
14318	3472127
14319	3472128
14320	3472129
14321	3472130
14322	3472131
14323	3472132
14324	3472133
14325	3472134
14326	3472135
14327	3472136
14328	3472137
14329	3472138
14330	3472139
14331	3472140
14332	3472141
14333	3472142
14334	3472143
14335	3472144
1936225	3472145
14336	3472146
14337	3472147
14338	3472148
14339	3472150
14340	3472151
14341	3472152
14342	3472153
14343	3472154
14344	3472155
14345	3472156
14346	3472157
1936227	
1936228	
1936229	
1936230	
1936231	
1936232	
14347	3472164
14348	3472165
14349	3472166
14350	3472167
14351	3472168
14352	3472169
14353	3472170
14354	3472171
14355	3472172
1936234	
14356	3472175
3446138	
14357	
1936235	
14358	3472200
14359	3472201
14360	3472202
14361	3472203
14362	3472204
14363	3472205
14364	3472206
14365	3472207
14366	3472208
14367	
14368	3472211
14369	
14370	3472213
14371	
14372	
14373	3472214
14374	
14375	3472216
14376	3472217
14377	3472218
14378	3472219
14379	3472220
14380	3472221
14381	3472222
14382	3472223
1936238	
3446140	
14383	
14384	
1936239	
14385	
14386	
14387	
14388	
14389	
3446142	
3446144	
14390	
14391	
14392	
3446146	
14394	
7497339	
14396	
14397	
14398	
14399	
14400	
14401	
14402	
14403	
1936246	
14404	
14405	
14406	
14407	
14408	
14409	
14410	
14411	
7497340	
14412	
14413	
14414	
14415	
14416	
14417	
