locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
3471954	YP_001456786.1	157159468	57075	190	255	+	EcHS_A0002	thrL	thr operon leader peptide (RefSeq)				TIGR02077 thr operon leader peptide [thrL]	Amino acid biosynthesis:Aspartate family	GO:0009088		
3471955	YP_001456787.1	157159469	57075	336	2798	+	EcHS_A0003	thrA	aspartokinase/homoserine dehydrogenase I (RefSeq)	COG527	E	Aspartokinases	TIGR00657 aspartate kinase	Amino acid biosynthesis:Aspartate family	GO:0009067,GO:0004072,GO:0004412,GO:0016597	1.1.1.3,2.7.2.4	Homoserine dehydrogenase.,Aspartate kinase.
3471956	YP_001456788.1	157159470	57075	2800	3732	+	EcHS_A0004	thrB	homoserine kinase (RefSeq)	COG83	E	Homoserine kinase	TIGR00191 homoserine kinase [thrB]	Amino acid biosynthesis:Aspartate family	GO:0016310,GO:0006566,GO:0005524,GO:0004413	2.7.1.39	Homoserine kinase.
3471957	YP_001456789.1	157159471	57075	3733	5019	+	EcHS_A0005	thrC	threonine synthase (RefSeq)	COG498	E	Threonine synthase	TIGR00260 threonine synthase [thrC]	Amino acid biosynthesis:Aspartate family	GO:0009088,GO:0004795,GO:0030170	4.2.3.1	Threonine synthase.
3471958	YP_001456790.1	157159472	57075	5719	5309	-	EcHS_A0006	EcHS_A0006	hypothetical protein (RefSeq)								
3471959	YP_001456791.1	157159473	57075	6458	5682	-	EcHS_A0007	EcHS_A0007	hypothetical protein (RefSeq)	COG3022	S	Uncharacterized protein conserved in bacteria					
3471960	YP_001456792.1	157159474	57075	7958	6528	-	EcHS_A0008	agcS	amino acid carrier protein (RefSeq)	COG1115	E	Na+/alanine symporter	TIGR00835 amino acid carrier protein [agcS]		GO:0006814,GO:0016020,GO:0005283		
3471961	YP_001456793.1	157159475	57075	8237	9190	+	EcHS_A0009	tal2	transaldolase (RefSeq)	COG176	G	Transaldolase	TIGR00874 transaldolase [tal]	Energy metabolism:Pentose phosphate pathway	GO:0006098,GO:0005737,GO:0004801	2.2.1.2	Transaldolase.
3471962	YP_001456794.1	157159476	57075	9305	9892	+	EcHS_A0010	mog	molybdopterin biosynthesis protein Mog (RefSeq)	COG521	H	Molybdopterin biosynthesis enzymes	TIGR00177 molybdenum cofactor synthesis domain		GO:0006777		
3471963	YP_001456795.1	157159477	57075	10493	9927	-	EcHS_A0011	EcHS_A0011	membrane protein, GPR1/FUN34/yaaH family (RefSeq)	COG1584	S	Predicted membrane protein			GO:0016020		
