""	""	""	""	"howmuch"
"1"	3471969	16648	17815	0.971223021582734
"2"	3471973	21745	25797	0.822849807445443
"3"	3472093	160952	162177	1
"4"	3472149	223039	224349	1
"5"	3472176	247667	277625	0.609409190371991
"6"	3472209	286887	287664	1
"7"	3472215	292990	294016	0.800171526586621
"8"	3472225	350144	416353	0.996551724137931
"9"	3472303	422239	425922	0.794027745121091
"10"	3472305	426857	427443	0.67433831990794
"11"	3472315	435620	442361	1
"12"	3472326	449247	453888	1
"13"	3472337	464121	464715	0.879545454545455
"14"	3472338	464875	469398	1
"15"	3472372	504189	505467	1
"16"	3472388	521169	522435	1
"17"	3472452	576149	578513	1
"18"	3472566	725929	730274	1
"19"	3472655	826328	828555	1
"20"	3472670	838694	839972	1
"21"	3472676	846416	846501	0.594405594405594
"22"	3472689	858387	858636	0.705454545454545
"23"	3472690	861874	862373	0.74155069582505
"24"	3472731	909782	910558	1
"25"	3472828	999878	1001156	1
"26"	3472843	1020224	1021222	1
"27"	3472858	1032491	1063954	1
"28"	11515719	1101734	1101854	0.962962962962963
"29"	3472984	1160536	1161815	1
"30"	3473068	1245942	1247220	1
"31"	3473088	1269778	1270554	1
"32"	3473110	1284929	1285705	1
"33"	3473208	1396555	1397786	1
"34"	3473331	1515981	1516731	1
"35"	3473476	1698670	1699437	1
"36"	3473561	1802489	1808772	1
"37"	3473582	1826041	1835074	1
"38"	3473590	1837749	1838406	0.627949183303085
"39"	3473592	1841508	1844980	1
"40"	3473596	1854809	1855961	1
"41"	3473725	1987599	1988366	1
"42"	3473759	2019987	2021265	1
"43"	3473844	2099610	2100387	1
"44"	3473938	2185864	2187095	1
"45"	3473979	2220273	2223302	0.820668693009118
"46"	3474012	2245795	2246565	0.892857142857143
"47"	3474022	2255241	2274742	1
"48"	3474064	2301876	2315290	1
"49"	3474085	2324136	2325446	1
"50"	3474108	2345511	2358748	0.549775784753363
"51"	3474121	2360061	2363801	1
"52"	3474126	2384508	2392560	1
"53"	3474132	2406188	2407975	0.759635599159075
"54"	3474136	2411758	2413805	1
"55"	3474139	2414294	2417916	1
"56"	3474358	2663725	2664501	1
"57"	3474426	2731578	2732123	0.635939323220537
"58"	3474473	2797649	2798812	0.971223021582734
"59"	3474484	2809373	2809768	0.967741935483871
"60"	3474509	2833331	2834609	1
"61"	3474583	2916112	2931816	1
"62"	3474643	2980381	2981157	1
"63"	3474677	3016122	3017400	1
"64"	3474703	3044779	3045554	1
"65"	3474723	3088226	3092406	1
"66"	3474731	3093105	3094336	1
"67"	3474759	3117438	3117537	0.536312849162011
"68"	11515729	3187286	3187316	0.967741935483871
"69"	11515731	3187440	3187456	0.516129032258065
"70"	11515733	3187580	3187599	0.612903225806452
"71"	11515750	3213410	3213942	1
"72"	3474865	3216482	3217258	1
"73"	3474906	3258365	3258474	0.723684210526316
"74"	3474945	3301443	3301678	0.927966101694915
"75"	3474953	3308887	3319100	1
"76"	3475041	3400872	3401609	1
"77"	3475059	3416311	3417590	1
"78"	3475081	3435615	3443616	1
"79"	3475094	3451052	3451828	1
"80"	3475106	3463693	3472079	1
"81"	3475190	3546958	3547375	1
"82"	3475223	3581104	3581473	0.93046357615894
"83"	3475229	3588404	3593830	1
"84"	3475277	3628264	3630568	0.525032092426187
"85"	3475364	3718526	3718935	1
"86"	3475399	3754727	3755582	0.827710843373494
"87"	3475579	3914659	3917424	0.896494156928214
"88"	3475642	3989472	3990239	1
"89"	3475691	4054710	4055675	1
"90"	3475766	4132484	4138843	1
"91"	3475789	4162603	4165355	1
"92"	3475844	4226506	4228245	1
"93"	3475923	4306584	4307815	1
"94"	3475982	4363091	4365648	0.94188679245283
"95"	3475984	4365770	4366865	1
"96"	3476056	4448218	4456896	1
"97"	3476071	4461505	4462784	1
"98"	3476121	4509981	4510614	1
"99"	3476131	4521191	4522469	1
"100"	3476213	4616686	4620115	1
"101"	3476338	4761675	4762960	1
"102"	3476400	4817368	4826158	1
"103"	3476411	4830442	4832569	1
"104"	3476424	4842676	4843954	1
"105"	3476450	4873008	4874287	1
"106"	3476479	4940272	4948772	1
"107"	3476522	5000616	5003582	1
"108"	3476526	5007395	5018724	1
"109"	3476571	5050305	5050592	0.96958174904943
