locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	COG	COGFun	EC
14146	NP_414542.1	16127995	7023	190	255	+	b0001	thrL			
14147	NP_414543.1	16127996	7023	337	2799	+	b0002	thrA	COG527	E	2.7.2.4
14148	NP_414544.1	16127997	7023	2801	3733	+	b0003	thrB	COG83	E	2.7.1.39
14149	NP_414545.1	16127998	7023	3734	5020	+	b0004	thrC	COG498	E	4.2.3.1
14150	NP_414546.1	16127999	7023	5234	5530	+	b0005	yaaX			
14151	NP_414547.1	16128000	7023	6459	5683	-	b0006	yaaA	COG3022	S	
14152	NP_414548.1	16128001	7023	7959	6529	-	b0007	yaaJ	COG1115	E	
14153	NP_414549.1	16128002	7023	8238	9191	+	b0008	talB	COG176	G	2.2.1.2
14154	NP_414550.1	16128003	7023	9306	9893	+	b0009	mog	COG521	H	
14155	NP_414551.1	16128004	7023	10494	9928	-	b0010	yaaH	COG1584	S	
14156	NP_414552.1	16128005	7023	11356	10643	-	b0011	yaaW	COG4735	S	
14158	NP_414554.1	16128007	7023	11786	11382	-	b0013	yaaI			
14159	NP_414555.1	16128008	7023	12163	14079	+	b0014	dnaK	COG443	O	1.3.1.74
14160	NP_414556.1	16128009	7023	14168	15298	+	b0015	dnaJ	COG484	O	
14161	NP_414557.1	16128010	7023	15445	16557	+	b0016	insL-1			
14163	NP_414559.1	16128012	7023	16960	16751	-	b0018	mokC			
1936200	YP_025292.1	49175991	7023	16903	16751	-	b4412	hokC			
1936201			7023	16952	17006	+	b4413	sokC			
14164	NP_414560.1	16128013	7023	17489	18655	+	b0019	nhaA	COG3004	P	
14165	NP_414561.1	16128014	7023	18715	19620	+	b0020	nhaR	COG583	K	
14166	NP_414562.1	16128015	7023	20314	19811	-	b0021	insB-1	COG1662	L	
14167	NP_414563.1	16128016	7023	20508	20233	-	b0022	insA-1	COG3677	L	
14168	NP_414564.1	16128017	7023	21078	20815	-	b0023	rpsT	COG268	J	
14169	NP_414565.1	16128018	7023	21181	21399	+	b0024	yaaY			
14170	NP_414566.1	16128019	7023	21407	22348	+	b0025	ribF	COG196	H	"2.7.1.26,2.7.7.2"
14171	NP_414567.1	16128020	7023	22391	25207	+	b0026	ileS	COG60	J	6.1.1.5
14172	NP_414568.1	16128021	7023	25207	25701	+	b0027	lspA	COG597	MU	3.4.23.36
14173	NP_414569.1	16128022	7023	25826	26275	+	b0028	fkpB	COG1047	O	5.2.1.8
14174	NP_414570.1	16128023	7023	26277	27227	+	b0029	ispH	COG761	IM	1.17.1.2
14175	NP_414571.1	16128024	7023	27293	28207	+	b0030	rihC	COG1957	F	"3.2.-.-,3.2.2.1"
14176	NP_414572.1	16128025	7023	28374	29195	+	b0031	dapB	COG289	E	1.3.1.26
14177	NP_414573.1	16128026	7023	29651	30799	+	b0032	carA	COG505	EF	6.3.5.5
14178	NP_414574.1	16128027	7023	30817	34038	+	b0033	carB	COG458	EF	6.3.5.5
14180	NP_414576.4	90111079	7023	34300	34695	+	b0034	caiF			
14181	NP_414577.2	90111080	7023	35371	34781	-	b0035	caiE	COG663	R	
14182	NP_414578.2	221800779	7023	36162	35377	-	b0036	caiD	COG1024	I	4.2.1.-
14183	NP_414579.4	221800780	7023	37824	36271	-	b0037	caiC	COG318	IQ	6.3.2.-
14184	NP_414580.1	16128032	7023	39115	37898	-	b0038	caiB	COG1804	C	
14185	NP_414581.1	16128033	7023	40386	39244	-	b0039	caiA	COG1960	I	1.3.99.-
14186	NP_414582.1	16128034	7023	41931	40417	-	b0040	caiT	COG1292	M	
14187	NP_414583.2	90111081	7023	42403	43173	+	b0041	fixA	COG2086	C	
14188	NP_414584.1	16128036	7023	43188	44129	+	b0042	fixB	COG2025	C	
14189	NP_414585.1	16128037	7023	44180	45466	+	b0043	fixC	COG644	C	1.5.5.-
14190	NP_414586.1	16128038	7023	45463	45750	+	b0044	fixX	COG2440	C	
14191	NP_414587.1	16128039	7023	45807	47138	+	b0045	yaaU	COG2271	G	
14192	NP_414588.1	16128040	7023	47246	47776	+	b0046	kefF	COG2249	R	1.6.99.-
14193	NP_414589.1	16128041	7023	47769	49631	+	b0047	kefC	COG475	P	
14194	NP_414590.1	16128042	7023	49823	50302	+	b0048	folA	COG262	H	1.5.1.3
14195	NP_414591.1	16128043	7023	51222	50380	-	b0049	apaH	COG639	T	3.6.1.41
14196	NP_414592.1	16128044	7023	51606	51229	-	b0050	apaG	COG2967	P	
14197	NP_414593.1	16128045	7023	52430	51609	-	b0051	ksgA	COG30	J	2.1.1.-
14198	NP_414594.1	16128046	7023	53416	52427	-	b0052	pdxA	COG1995	H	1.1.1.262
14199	NP_414595.1	16128047	7023	54702	53416	-	b0053	surA	COG760	O	5.2.1.8
14200	NP_414596.1	16128048	7023	57109	54755	-	b0054	imp	COG1452	M	
14201	NP_414597.1	16128049	7023	57364	58179	+	b0055	djlA	COG1076	O	
3446137			7023	58474	59269	+	b4659	yabP			
14204	NP_414600.1	16128052	7023	60346	59687	-	b0058	rluA	COG564	J	5.4.99.12
14205	NP_414601.1	16128053	7023	63264	60358	-	b0059	hepA	COG553	KL	3.6.1.-
14206	NP_414602.1	16128054	7023	65780	63429	-	b0060	polB	COG417	L	2.7.7.7
14207	NP_414603.1	16128055	7023	66550	65855	-	b0061	araD	COG235	G	5.1.3.4
14208	NP_414604.1	16128056	7023	68337	66835	-	b0062	araA	COG2160	G	5.3.1.4
14209	NP_414605.1	16128057	7023	70048	68348	-	b0063	araB	COG1069	C	2.7.1.16
14210	NP_414606.1	16128058	7023	70387	71265	+	b0064	araC	COG2207	K	
14211	NP_414607.1	16128059	7023	71351	72115	+	b0065	yabI	COG586	S	
14212	NP_414608.1	16128060	7023	72927	72229	-	b0066	thiQ	COG3840	H	
14213	NP_414609.1	16128061	7023	74521	72911	-	b0067	thiP	COG1178	P	
14214	NP_414610.1	16128062	7023	75480	74497	-	b0068	tbpA	COG4143	H	
14215	NP_414611.1	16128063	7023	77299	75644	-	b0069	sgrR	COG4533	R	
1936206			7023	77367	77593	+	b4577	sgrS			
7497338	YP_002791237.1	226524697	7023	77388	77519	+	b4662	sgrT			
1936207	YP_025293.1	49175994	7023	77621	78799	+	b0070	setA	COG2814	G	
14217	NP_414613.1	16128065	7023	79453	78848	-	b0071	leuD	COG66	E	"4.2.1.33,4.2.1.35"
14218	NP_414614.1	16128066	7023	80864	79464	-	b0072	leuC	COG65	E	"4.2.1.33,4.2.1.35"
14219	NP_414615.4	90111082	7023	81958	80867	-	b0073	leuB	COG473	CE	1.1.1.85
14220	NP_414616.1	16128068	7023	83529	81958	-	b0074	leuA	COG119	E	2.3.3.13
14221	NP_414617.1	16128069	7023	83708	83622	-	b0075	leuL			
14222	NP_414618.4	90111083	7023	84368	85312	+	b0076	leuO	COG583	K	
1936210	YP_025294.2	90111084	7023	85630	87354	+	b0077	ilvI	COG28	EH	2.2.1.6
14224	NP_414620.1	16128071	7023	87357	87848	+	b0078	ilvH	COG440	E	2.2.1.6
14226	NP_414622.1	16128073	7023	88028	89032	+	b0080	fruR	COG1609	K	
14227	NP_414623.1	16128074	7023	89634	90092	+	b0081	mraZ	COG2001	S	
14228	NP_414624.1	16128075	7023	90094	91035	+	b0082	mraW	COG275	M	2.1.1.-
14229	NP_414625.1	16128076	7023	91032	91397	+	b0083	ftsL	COG3116	D	
14230	NP_414626.1	16128077	7023	91413	93179	+	b0084	ftsI	COG768	M	2.4.1.129
14231	NP_414627.1	16128078	7023	93166	94653	+	b0085	murE	COG769	M	6.3.2.13
14232	NP_414628.1	16128079	7023	94650	96008	+	b0086	murF	COG770	M	6.3.2.10
14233	NP_414629.1	16128080	7023	96002	97084	+	b0087	mraY	COG472	M	2.7.8.13
14234	NP_414630.1	16128081	7023	97087	98403	+	b0088	murD	COG771	M	6.3.2.9
14235	NP_414631.1	16128082	7023	98403	99647	+	b0089	ftsW	COG772	D	
14236	NP_414632.1	16128083	7023	99644	100711	+	b0090	murG	COG707	M	2.4.1.227
14237	NP_414633.1	16128084	7023	100765	102240	+	b0091	murC	COG773	M	6.3.2.8
14238	NP_414634.1	16128085	7023	102233	103153	+	b0092	ddlB	COG1181	M	6.3.2.4
14239	NP_414635.1	16128086	7023	103155	103985	+	b0093	ftsQ	COG1589	M	
14240	NP_414636.1	16128087	7023	103982	105244	+	b0094	ftsA	COG849	D	
14241	NP_414637.1	16128088	7023	105305	106456	+	b0095	ftsZ	COG206	D	
14242	NP_414638.1	16128089	7023	106557	107474	+	b0096	lpxC	COG774	M	3.5.1.-
14243	NP_414639.2	90111085	7023	107705	108217	+	b0097	yacA			
14244	NP_414640.1	16128091	7023	108279	110984	+	b0098	secA	COG653	U	
14245	NP_414641.1	16128092	7023	111044	111433	+	b0099	mutT	COG1051	F	3.6.1.-
14247	NP_414643.1	16128094	7023	111846	111649	-	b0101	yacG	COG3024	S	
14248	NP_414644.1	16128095	7023	112599	111856	-	b0102	yacF	COG4582	S	
14249	NP_414645.1	16128096	7023	113219	112599	-	b0103	coaE	COG237	H	2.7.1.24
14250	NP_414646.1	16128097	7023	113444	114487	+	b0104	guaC	COG516	F	1.7.1.7
14252	NP_414648.1	16128099	7023	115724	114522	-	b0106	hofC	COG1459	NU	
14253	NP_414649.1	16128100	7023	117099	115714	-	b0107	hofB	COG2804	NU	
14254	NP_414650.1	16128101	7023	117549	117109	-	b0108	ppdD	COG4969	NU	
