"V1"	"V2"	"V3"	"V4"
"vimss"	" 3471954"	""	"   14146"	""
"vimss"	" 3471955"	"homoserine , aspartic acid"	"   14147"	"aspartic acid"
"vimss"	" 3471956"	"homoserine"	"   14148"	"homoserine"
"vimss"	" 3471957"	"threonine"	"   14149"	"threonine"
"vimss"	" 3471959"	""	"   14151"	""
"vimss"	" 3471960"	""	"   14152"	""
"vimss"	" 3471961"	""	"   14153"	""
"vimss"	" 3471962"	""	"   14154"	""
"vimss"	" 3471963"	""	"   14155"	""
"vimss"	" 3471964"	""	"   14156"	""
"vimss"	" 3471965"	""	"   14158"	""
"vimss"	" 3471967"	""	"   14159"	""
"vimss"	" 3471968"	""	"   14160"	""
"vimss"	" 3471971"	""	"   14164"	""
"vimss"	" 3471972"	""	"   14165"	""
"vimss"	" 3471977"	""	"   14168"	""
"vimss"	" 3471978"	""	"   14169"	""
"vimss"	" 3471979"	""	"   14170"	""
"vimss"	" 3471980"	"adenosine-5-monophosphate"	"   14171"	"adenosine-5-monophosphate"
"vimss"	" 3471981"	""	"   14172"	""
"vimss"	" 3471983"	""	"   14174"	""
"vimss"	" 3471984"	""	"   14175"	"adenine"
"vimss"	" 3471985"	""	"   14176"	""
"vimss"	" 3471987"	"phosphoric acid"	"   14177"	"phosphoric acid"
"vimss"	" 3471988"	"phosphoric acid"	"   14178"	"phosphoric acid"
"vimss"	" 3471990"	""	"   14180"	""
"vimss"	" 3471991"	""	"   14181"	""
"vimss"	" 3471992"	""	"   14182"	""
"vimss"	" 3471993"	"adenosine-5-monophosphate"	"   14183"	""
"vimss"	" 3471994"	"malic acid"	"   14184"	""
"vimss"	" 3471995"	""	"   14185"	""
"vimss"	" 3471996"	""	"   14186"	""
"vimss"	" 3471999"	""	"   14187"	""
"vimss"	" 3472000"	""	"   14188"	""
"vimss"	" 3472001"	""	"   14189"	""
"vimss"	" 3472002"	""	"   14190"	""
"vimss"	" 3472003"	""	"   14191"	""
"vimss"	" 3472004"	""	"   14192"	""
"vimss"	" 3472005"	""	"   14193"	""
"vimss"	" 3472006"	""	"   14194"	""
"vimss"	" 3472007"	""	"   14195"	""
"vimss"	" 3472008"	""	"   14196"	""
"vimss"	" 3472009"	""	"   14197"	""
"vimss"	" 3472010"	""	"   14198"	""
"vimss"	" 3472011"	""	"   14199"	""
"vimss"	" 3472012"	""	"   14200"	""
"vimss"	" 3472013"	""	"   14201"	""
"vimss"	" 3472014"	""	"   14204"	""
"vimss"	" 3472015"	"adenosine-5-monophosphate"	"   14205"	"adenosine-5-monophosphate"
"vimss"	" 3472016"	""	"   14206"	""
"vimss"	" 3472017"	""	"   14207"	""
"vimss"	" 3472018"	""	"   14208"	""
"vimss"	" 3472019"	""	"   14209"	""
