"Vimss ID"	"Upstream"	""	""	""	"Synonymous"	""	""	""	"Nonsynonymous"	""	""	""	"Downstream"	""	""	""	"EC numbers"	"Names of metabolites"	"Log2 ratio"	"p-value"	"SD test"	"SD ref"	"TF binding sites"	"Sigma sites"	"Is mapped to ortholog"	"Max ratio"	"Didn't align"	"Type of alignment for TF site"
"16571"	"0"	"0"	"0"	"0"	"4"	"4"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.5.1.18"	"2,6-diaminopimelic acid"	"1.83131119302084"	"0.425358231350272"	"0.0236055585948159"	"0.00380598575446093"	""	" Sigma70"	"3474544"	"1.83131119302084"	"0"	"0"
"14305"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"3.2.2.16,3.2.2.9"	"adenine , adenine"	"1.09311558495539 , 1.09311558495539"	"0.413675160607389 , 0.413675160607389"	"0.0407441325050659 , 0.0407441325050659"	"0.0130140122278509 , 0.0130140122278509"	""	""	"3472115"	"1.09311558495539 "	"0"	"0"
"16606"	"0"	"0"	"0"	"0"	"8"	"3"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6.3.5.2,6.3.4.1"	"adenosine-5-monophosphate , adenosine-5-monophosphate"	"-0.364876166016188 , -0.364876166016188"	"0.766081697680536 , 0.766081697680536"	"0.0443540520619505 , 0.0443540520619505"	"0.0567574552244345 , 0.0567574552244345"	" CRP DnaA Fis PurR"	" Sigma70"	"3474597"	"-0.364876166016188 "	"0"	"0"
"16828"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.1.3.5,3.1.3.6"	"adenosine-5-monophosphate , phosphoric acid"	"-0.364876166016188 , 0.688589475140754"	"0.766081697680536 , 0.218766561334181"	"0.0443540520619505 , 0.0166613353448738"	"0.0567574552244345 , 0.0101369418270666"	""	" Sigma70"	"3474826"	" 0.688589475140754"	"0"	"0"
"15799"	"0"	"0"	"0"	"0"	"5"	"1"	"3"	"2"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"2.8.1.7,4.4.1.16"	"alanine , alanine"	"0.839518558472077 , 0.839518558472077"	"0.538602230774412 , 0.538602230774412"	"0.01790131470869 , 0.01790131470869"	"0.0169472344426012 , 0.0169472344426012"	" Fur IHF IscR NsrR OxyR"	" Sigma70"	"3473706"	"0.839518558472077 "	"0"	"0"
"15052"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.6.1.1,2.6.1.57"	"aspartic acid , aspartic acid"	"-0.378955683136698 , -0.378955683136698"	"0.741513314006951 , 0.741513314006951"	"0.0104317442316806 , 0.0104317442316806"	"0.00983935354076784 , 0.00983935354076784"	" FNR Fur"	""	"3472985"	"-0.378955683136698 "	"0"	"0"
"14277"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4.1.1.11"	"beta-alanine"	"1.76932561389181"	"0.352431087783699"	"0.00640582869042602"	"0.000593284011040723"	""	""	"3472087"	"1.76932561389181"	"0"	"0"
"15228"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2.7.1.89,3.2.1.21"	"cellobiose"	"0.484581332884923"	"0.556729652291301"	"0.00567182160847627"	"0.00242661690259573"	""	""	"3473177"	"0.484581332884923"	"0"	"0"
"16240"	"0"	"0"	"0"	"0"	"4"	"3"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"3.2.1.21"	"cellobiose"	"0.484581332884923"	"0.556729652291301"	"0.00567182160847627"	"0.00242661690259573"	""	" Sigma70"	"3474210"	"0.484581332884923"	"0"	"0"
"17085"	"0"	"0"	"1"	"0"	"7"	"4"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"4.4.1.8"	"cystathionine 4TMS NIST"	"-0.0156694562658838"	"0.943791871045374"	"0.00187331823608576"	"0.00431835043576245"	" MetJ"	" Sigma70"	"3475137"	"-0.0156694562658838"	"0"	"0"
"17978"	"0"	"0"	"0"	"0"	"1"	"6"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.5.1.48"	"cystathionine 4TMS NIST"	"-0.0156694562658838"	"0.943791871045374"	"0.00187331823608576"	"0.00431835043576245"	" MetJ PhoP YjiE"	" Sigma70"	"3476125"	"-0.0156694562658838"	"0"	"0"
"15056"	"0"	"0"	"0"	"0"	"0"	"3"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.4.11.2"	"cysteine-glycine"	"-0.208870365551321"	"0.852591686410495"	"0.0481446386998969"	"0.0517019706077964"	""	""	"3472990"	"-0.208870365551321"	"0"	"0"
"17508"	"0"	"0"	"0"	"0"	"4"	"5"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.3.2.2"	"cysteine-glycine"	"-0.208870365551321"	"0.852591686410495"	"0.0481446386998969"	"0.0517019706077964"	""	""	"3475600"	"-0.208870365551321"	"0"	"0"
"18285"	"0"	"0"	"0"	"0"	"6"	"4"	"4"	"1"	"0"	"0"	"0"	"0"	"1"	"4"	"3"	"3"	"3.4.11.1"	"cysteine-glycine"	"-0.208870365551321"	"0.852591686410495"	"0.0481446386998969"	"0.0517019706077964"	" PepA"	" Sigma70"	"3476468"	"-0.208870365551321"	"0"	"0"
"15206"	"0"	"0"	"0"	"0"	"13"	"9"	"17"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.1.26.12,3.1.4.-"	"phosphoethanolamine"	"0.762677676098965"	"0.326820745779441"	"0.00577529899293872"	"0.00391238487476641"	""	" Sigma70"	"3473154"	"0.762677676098965"	"0"	"0"
"16539"	"0"	"0"	"0"	"0"	"3"	"3"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4.3.1.7"	"ethanolamine"	"0.265699107054447"	"0.549770923802616"	"0.0125257291280956"	"0.0015780952175327"	""	""	"3474519"	"0.265699107054447"	"0"	"0"
"16540"	"0"	"0"	"0"	"0"	"7"	"4"	"5"	"10"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"4.3.1.7"	"ethanolamine"	"0.265699107054447"	"0.549770923802616"	"0.0125257291280956"	"0.0015780952175327"	""	""	"no ortholog"	"0.265699107054447"	"0"	"0"
"17510"	"0"	"0"	"0"	"0"	"5"	"4"	"3"	"3"	"1"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"3.1.4.46"	"ethanolamine"	"0.265699107054447"	"0.549770923802616"	"0.0125257291280956"	"0.0015780952175327"	" CRP PhoB PhoB"	" Sigma24 Sigma70"	"3475602"	"0.265699107054447"	"0"	"0"
"18221"	"0"	"0"	"1"	"0"	"4"	"5"	"9"	"6"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"4.1.1.85,4.1.2.-"	"phosphoethanolamine"	"0.762677676098965"	"0.326820745779441"	"0.00577529899293872"	"0.00391238487476641"	" CRP IHF UlaR"	" Sigma70"	"3476392"	"0.762677676098965"	"0"	"0"
"17613"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.1.1.215"	"gluconic acid"	"3.54874640869175"	"0.374900305037883"	"0.001980260654496"	"0.000109378148822949"	""	""	"3475710"	"3.54874640869175"	"0"	"0"
"18293"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2.7.1.12"	"gluconic acid"	"3.54874640869175"	"0.374900305037883"	"0.001980260654496"	"0.000109378148822949"	" CRP GntR IdnR"	" Sigma70"	"3476476"	"3.54874640869175"	"0"	"0"
"15155"	"0"	"1"	"1"	"3"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1.1.1.81,1.1.1.95"	"glyceric acid , 3-phosphoglycerate"	"0.0789849138420591 , 0.437719659196196"	"0.948423668519921 , 0.514561614050625"	"0.0303021322243173 , 0.0147166711315958"	"0.0464080896611698 , 0.00363325157772906"	""	""	"3473098"	" 0.437719659196196"	"0"	"0"
"16348"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.1.5.3,1.1.99.5"	"glycerol-alpha-phosphate , glycerol-alpha-phosphate"	"0.767274337222421 , 0.767274337222421"	"0.454055432685492 , 0.454055432685492"	"0.0434886231936481 , 0.0434886231936481"	"0.00674704781594541 , 0.00674704781594541"	" ArcA CRP FNR Fis FlhDC GlpR"	" Sigma70"	"3474325"	"0.767274337222421 "	"0"	"0"
"16349"	"0"	"0"	"0"	"0"	"11"	"5"	"6"	"6"	"1"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"1.1.5.3,1.1.99.5"	"glycerol-alpha-phosphate , glycerol-alpha-phosphate"	"0.767274337222421 , 0.767274337222421"	"0.454055432685492 , 0.454055432685492"	"0.0434886231936481 , 0.0434886231936481"	"0.00674704781594541 , 0.00674704781594541"	" ArcA CRP FNR Fis FlhDC GlpR"	" Sigma70"	"3474326"	"0.767274337222421 "	"0"	"0"
"17488"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1.1.5.3,1.1.99.5"	"glycerol-alpha-phosphate , glycerol-alpha-phosphate"	"0.767274337222421 , 0.767274337222421"	"0.454055432685492 , 0.454055432685492"	"0.0434886231936481 , 0.0434886231936481"	"0.00674704781594541 , 0.00674704781594541"	" ArcA CRP GlpR"	" Sigma70"	"3475578"	"0.767274337222421 "	"0"	"0"
"14148"	"0"	"0"	"0"	"0"	"3"	"3"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.7.1.39"	"homoserine"	"0.359309429842608"	"0.631998786762162"	"0.0128627262208111"	"0.00930284126355369"	""	" Sigma70"	"3471956"	"0.359309429842608"	"Aligned"	"0"
"16447"	"0"	"0"	"0"	"0"	"16"	"9"	"9"	"16"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"1.1.1.3,4.2.1.17,5.1.2.3,1.1.1.35"	"homoserine"	"0.359309429842608"	"0.631998786762162"	"0.0128627262208111"	"0.00930284126355369"	""	""	"3474434"	"0.359309429842608"	"0"	"0"
"18041"	"1"	"1"	"0"	"0"	"1"	"3"	"1"	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"2.3.1.46"	"homoserine"	"0.359309429842608"	"0.631998786762162"	"0.0128627262208111"	"0.00930284126355369"	" MetJ"	" Sigma32 Sigma70"	"3476201"	"0.359309429842608"	"0"	"0"
"1937119"	"0"	"0"	"0"	"0"	"3"	"7"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.6.1.42"	"isoleucine"	"-0.0456925013289036"	"0.96866951273982"	"0.0292533765672374"	"0.0282780345282557"	" IHF IHF Lrp"	" Sigma70"	"3475940"	"-0.0456925013289036"	"0"	"0"
"17666"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.1.2.3"	"lactic acid"	"1.43345634497346"	"0.410024750014672"	"0.011486019267248"	"0.00196185971319482"	" ArcA LldR LldR"	" Sigma70"	"3475772"	"1.43345634497346"	"0"	"0"
"16318"	"0"	"0"	"0"	"0"	"2"	"3"	"0"	"2"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"2"	"1.1.5.4,1.1.99.16"	"malic acid , malic acid"	"0.559340751415306 , 0.559340751415306"	"0.601271781187417 , 0.601271781187417"	"0.000607322119928488 , 0.000607322119928488"	"0.000136182815874595 , 0.000136182815874595"	""	" Sigma24 Sigma70"	"3474291"	"0.559340751415306 "	"0"	"0"
"16562"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.1.1.39,1.1.1.40"	"malic acid , malic acid"	"0.559340751415306 , 0.559340751415306"	"0.601271781187417 , 0.601271781187417"	"0.000607322119928488 , 0.000607322119928488"	"0.000136182815874595 , 0.000136182815874595"	""	""	"3474534"	"0.559340751415306 "	"0"	"0"
