Vimss ID	Upstream	Synonymous	Nonsynonymous	Downstream	EC numbers	Names of metabolites	Log2 ratio	p-value	SD test	SD ref	TF binding sites	Sigma sites	Is mapped to ortholog	Max ratio	Has TF site mutation	Vimss ID	Upstream	Synonymous	Nonsynonymous	Downstream	EC numbers	Names of metabolites	Log2 ratio	p-value	SD test	SD ref	TF binding sites	Sigma sites	Is mapped to ortholog	Max ratio
16571	0	19	0	0	3.5.1.18	"2,6-diaminopimelic acid"	1.831311193	0.425358231	0.023605559	0.003805986		" , Sigma70"	yes	1.831311193	No	3474544	0	19	0	0	3.5.1.18	"2,6-diaminopimelic acid"	-1.831311193	0.425358231	0.003805986	0.023605559			yes	-1.831311193
17858	0	0	0	0	5.1.1.7	"2,6-diaminopimelic acid"	1.831311193	0.425358231	0.023605559	0.003805986		" , Sigma70"	yes	1.831311193	No	3475987	0	0	0	0	5.1.1.7	"2,6-diaminopimelic acid"	-1.831311193	0.425358231	0.003805986	0.023605559		" , Sigma70"	yes	-1.831311193
14305	0	1	0	0	"3.2.2.16,3.2.2.9"	"adenine , adenine"	"1.09311558495539 , 1.09311558495539"	"0.413675160607389 , 0.413675160607389"	"0.0407441325050659 , 0.0407441325050659"	"0.0130140122278509 , 0.0130140122278509"			yes	1.093115585	No	3472115	0	1	0	0	"3.2.2.16,3.2.2.9"	"adenine , adenine"	"-1.09311558495539 , -1.09311558495539"	"0.413675160607389 , 0.413675160607389"	"0.0130140122278509 , 0.0130140122278509"	"0.0407441325050659 , 0.0407441325050659"			yes	1.093115585
15858	0	0	0	0	"6.3.1.5,6.3.5.1"	"adenosine-5-monophosphate , adenosine-5-monophosphate"	"-0.364876166016188 , -0.364876166016188"	"0.766081697680536 , 0.766081697680536"	"0.0443540520619505 , 0.0443540520619505"	"0.0567574552244345 , 0.0567574552244345"		" , Sigma70"	yes	0.364876166	No	3473767	0	0	0	0	6.3.1.5	adenosine-5-monophosphate	0.364876166	0.766081698	0.056757455	0.044354052			yes	0.364876166
16606	0	18	0	0	"6.3.5.2,6.3.4.1"	"adenosine-5-monophosphate , adenosine-5-monophosphate"	"-0.364876166016188 , -0.364876166016188"	"0.766081697680536 , 0.766081697680536"	"0.0443540520619505 , 0.0443540520619505"	"0.0567574552244345 , 0.0567574552244345"	" , CRP , DnaA , Fis , PurR"	" , Sigma70"	yes	0.364876166	No	3474597	0	18	0	0	6.3.5.2	adenosine-5-monophosphate	0.364876166	0.766081698	0.056757455	0.044354052	" , CRP , DnaA , Fis , PurR"	" , Sigma32,Sigma70"	yes	0.364876166
1937204	0	0	0	0	"3.6.1.-,3.6.1.22"	"adenosine-5-monophosphate , adenosine-5-monophosphate"	"-0.364876166016188 , -0.364876166016188"	"0.766081697680536 , 0.766081697680536"	"0.0443540520619505 , 0.0443540520619505"	"0.0567574552244345 , 0.0567574552244345"		" , Sigma70"	yes	0.364876166	No	3476184	0	0	0	0	3.6.1.22	adenosine-5-monophosphate	0.364876166	0.766081698	0.056757455	0.044354052		" , Sigma70"	yes	0.364876166
16828	0	1	0	0	"3.1.3.5,3.1.3.6"	"adenosine-5-monophosphate , phosphoric acid"	"-0.364876166016188 , 0.688589475140754"	"0.766081697680536 , 0.218766561334181"	"0.0443540520619505 , 0.0166613353448738"	"0.0567574552244345 , 0.0101369418270666"		" , Sigma70"	yes	0.688589475	No	3474826	0	1	0	0	"3.1.3.5,3.1.3.6,3.6.1.11"	"adenosine-5-monophosphate , phosphoric acid , phosphoric acid"	"0.364876166016188 , -0.688589475140754 , -0.688589475140754"	"0.766081697680536 , 0.218766561334181 , 0.218766561334181"	"0.0567574552244345 , 0.0101369418270666 , 0.0101369418270666"	"0.0443540520619505 , 0.0166613353448738 , 0.0166613353448738"			yes	0.688589475
15799	0	14	0	0	"2.8.1.7,4.4.1.16"	"alanine , alanine"	"0.839518558472077 , 0.839518558472077"	"0.538602230774412 , 0.538602230774412"	"0.01790131470869 , 0.01790131470869"	"0.0169472344426012 , 0.0169472344426012"	" , Fur , IHF , IscR , NsrR , OxyR"	" , Sigma70"	yes	0.839518558	No	3473706	0	14	0	0	"2.8.1.7,4.4.1.16"	"alanine , alanine"	"-0.839518558472077 , -0.839518558472077"	"0.538602230774412 , 0.538602230774412"	"0.0169472344426012 , 0.0169472344426012"	"0.01790131470869 , 0.01790131470869"	" , Fur , IHF , IscR , NsrR , OxyR"		yes	0.839518558
15052	1	3	0	0	"2.6.1.1,2.6.1.57"	"aspartic acid , aspartic acid"	"-0.378955683136698 , -0.378955683136698"	"0.741513314006951 , 0.741513314006951"	"0.0104317442316806 , 0.0104317442316806"	"0.00983935354076784 , 0.00983935354076784"	" , FNR , Fur"		yes	0.378955683	No	3472985	1	3	0	0	2.6.1.1	aspartic acid	0.378955683	0.741513314	0.009839354	0.010431744	" , FNR , Fur"		yes	0.378955683
14277	0	3	0	0	4.1.1.11	beta-alanine	1.769325614	0.352431088	0.006405829	0.000593284			yes	1.769325614	No	3472087	0	3	0	0	4.1.1.11	beta-alanine	-1.769325614	0.352431088	0.000593284	0.006405829			yes	-1.769325614
15228	0	4	0	0	"2.7.1.89,3.2.1.21"	cellobiose	0.484581333	0.556729652	0.005671822	0.002426617			yes	0.484581333	Yes	3473177	0	4	0	0	2.7.1.89							" , Sigma54"	yes	
16240	0	14	0	2	3.2.1.21	cellobiose	0.484581333	0.556729652	0.005671822	0.002426617		" , Sigma70"	yes	0.484581333	No	3474210	0	14	0	2	3.2.1.21	cellobiose	-0.484581333	0.556729652	0.002426617	0.005671822		" , Sigma70"	yes	-0.484581333
17592	0	0	0	0	3.2.1.4	cellobiose	0.484581333	0.556729652	0.005671822	0.002426617	" , FNR"	" , Sigma70"	no	0.484581333	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17085	1	14	0	2	4.4.1.8	cystathionine 4TMS NIST	-0.015669456	0.943791871	0.001873318	0.00431835	" , MetJ"	" , Sigma70"	yes	-0.015669456	No	3475137	1	14	0	2	4.4.1.8	cystathionine 4TMS NIST	0.015669456	0.943791871	0.00431835	0.001873318	" , MetJ"		yes	0.015669456
17978	0	15	0	0	2.5.1.48	cystathionine 4TMS NIST	-0.015669456	0.943791871	0.001873318	0.00431835	" , MetJ , PhoP , YjiE"	" , Sigma70"	yes	-0.015669456	No	3476125	0	15	0	0	2.5.1.48	cystathionine 4TMS NIST	0.015669456	0.943791871	0.00431835	0.001873318	" , MetJ , PhoP , YjiE"		yes	0.015669456
15056	0	10	0	0	3.4.11.2	cysteine-glycine	-0.208870366	0.852591686	0.048144639	0.051701971			yes	-0.208870366	No	3472990	0	10	0	0	3.4.11.2	cysteine-glycine	0.208870366	0.852591686	0.051701971	0.048144639		" , Sigma38,Sigma70"	yes	0.208870366
17508	0	14	0	0	2.3.2.2	cysteine-glycine	-0.208870366	0.852591686	0.048144639	0.051701971			yes	-0.208870366	No	3475600	0	14	0	0	2.3.2.2	cysteine-glycine	0.208870366	0.852591686	0.051701971	0.048144639		" , Sigma70"	yes	0.208870366
18285	0	15	0	11	3.4.11.1	cysteine-glycine	-0.208870366	0.852591686	0.048144639	0.051701971	" , PepA"	" , Sigma70"	yes	-0.208870366	Yes	3476468	0	15	0	26	3.4.11.1	cysteine-glycine	0.208870366	0.852591686	0.051701971	0.048144639	" , PepA"	NA	yes	0.208870366
17006	0	0	0	0	"1.2.1.-,1.2.1.12"	"GABA , phosphoric acid"	"0.873628509527582 , 0.688589475140754"	"0.498299186281473 , 0.218766561334181"	"0.0424931046828253 , 0.0166613353448738"	"0.0340737652149799 , 0.0101369418270666"	" , CRP , Cra"	" , Sigma38,Sigma70"	yes	0.87362851	No	3475035	0	0	0	0	1.2.1.-	GABA	-0.87362851	0.498299186	0.034073765	0.042493105	" , CRP , Cra"	" , Sigma70"	yes	-0.87362851
17498	0	0	0	0	2.7.1.12	gluconic acid	3.548746409	0.374900305	0.001980261	0.000109378	" , CRP , GntR , IdnR"	" , Sigma70"	yes	3.548746409	Yes	3475591	0	0	0	0	2.7.1.12	gluconic acid	-3.548746409	0.374900305	0.000109378	0.001980261	" , CRP , GntR , IdnR"		yes	-3.548746409
17613	0	3	0	0	1.1.1.215	gluconic acid	3.548746409	0.374900305	0.001980261	0.000109378			yes	3.548746409	No	3475710	0	3	0	0	1.1.1.215	gluconic acid	-3.548746409	0.374900305	0.000109378	0.001980261			yes	-3.548746409
18293	3	3	0	0	2.7.1.12	gluconic acid	3.548746409	0.374900305	0.001980261	0.000109378	" , CRP , GntR , IdnR"	" , Sigma70"	yes	3.548746409	No	3476476	3	3	0	0	2.7.1.12	gluconic acid	-3.548746409	0.374900305	0.000109378	0.001980261	" , CRP , GntR , IdnR"	NA	yes	-3.548746409
15155	5	4	0	0	"1.1.1.81,1.1.1.95"	"glyceric acid , 3-phosphoglycerate"	"0.0789849138420591 , 0.437719659196196"	"0.948423668519921 , 0.514561614050625"	"0.0303021322243173 , 0.0147166711315958"	"0.0464080896611698 , 0.00363325157772906"			yes	0.437719659	Yes	3473098	0	4	0	0	"1.1.1.79,1.1.1.81"	"glyceric acid , glyceric acid"	"-0.0789849138420592 , -0.0789849138420592"	"0.948423668519921 , 0.948423668519921"	"0.0464080896611698 , 0.0464080896611698"	"0.0303021322243173 , 0.0303021322243173"			yes	0.078984914
16348	0	1	0	0	"1.1.5.3,1.1.99.5"	"glycerol-alpha-phosphate , glycerol-alpha-phosphate"	"0.767274337222421 , 0.767274337222421"	"0.454055432685492 , 0.454055432685492"	"0.0434886231936481 , 0.0434886231936481"	"0.00674704781594541 , 0.00674704781594541"	" , ArcA , CRP , FNR , Fis , FlhDC , GlpR"	" , Sigma70"	yes	0.767274337	No	3474325	0	1	0	0	"1.1.5.3,1.1.99.5"	"glycerol-alpha-phosphate , glycerol-alpha-phosphate"	"-0.767274337222422 , -0.767274337222422"	"0.454055432685492 , 0.454055432685492"	"0.00674704781594541 , 0.00674704781594541"	"0.0434886231936481 , 0.0434886231936481"	" , ArcA , CRP , FNR , Fis , FlhDC , GlpR"		yes	0.767274337
