"types"	"Vimss ID"	"Upstream"	""	""	""	"Synonymous"	""	""	""	"Nonsynonymous"	""	""	""	"Downstream"	""	""	""	"EC numbers"	"Names of metabolites"	"Log2 ratio"	"p-value"	"SD test"	"SD ref"	"TF binding sites"	"Sigma sites"	"Is mapped to ortholog"	"Fraction Missing"
"Coding with metabolites"	"3474544"	"0"	"0"	"0"	"0"	"3"	"8"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.5.1.18"	"2,6-diaminopimelic acid"	"-1.83131119302084"	"0.425358231350272"	"0.00380598575446093"	"0.0236055585948159"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3472115"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.2.2.16,3.2.2.9"	"adenine , adenine"	"-1.09311558495539 , -1.09311558495539"	"0.413675160607389 , 0.413675160607389"	"0.0130140122278509 , 0.0130140122278509"	"0.0407441325050659 , 0.0407441325050659"	""	""	"yes"	""
"Coding with metabolites"	"3474826"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.1.3.5,3.1.3.6,3.6.1.11"	"adenosine-5-monophosphate , phosphoric acid , phosphoric acid"	"0.364876166016188 , -0.688589475140754 , -0.688589475140754"	"0.766081697680536 , 0.218766561334181 , 0.218766561334181"	"0.0567574552244345 , 0.0101369418270666 , 0.0101369418270666"	"0.0443540520619505 , 0.0166613353448738 , 0.0166613353448738"	""	" , Sigma28 , Sigma70"	"yes"	""
"Coding with metabolites"	"3473706"	"3"	"3"	"1"	"7"	"3"	"3"	"1"	"7"	"0"	"0"	"0"	"0"	"3"	"3"	"1"	"7"	"2.8.1.7,4.4.1.16"	"alanine , alanine"	"-0.839518558472077 , -0.839518558472077"	"0.538602230774412 , 0.538602230774412"	"0.0169472344426012 , 0.0169472344426012"	"0.01790131470869 , 0.01790131470869"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3472087"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"6"	"1"	"3"	"6"	"4.1.1.11"	"beta-alanine"	"-1.76932561389181"	"0.352431087783699"	"0.000593284011040723"	"0.00640582869042602"	""	" , Sigma28 , Sigma70"	"yes"	""
"Coding with metabolites"	"3474210"	"7"	"1"	"4"	"4"	"6"	"0"	"4"	"4"	"0"	"0"	"0"	"0"	"7"	"0"	"6"	"4"	"3.2.1.21"	"cellobiose"	"-0.484581332884924"	"0.556729652291301"	"0.00242661690259573"	"0.00567182160847627"	""	" , Sigma32"	"yes"	""
"Coding with metabolites"	"3475137"	"0"	"1"	"0"	"0"	"2"	"1"	"4"	"7"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"4.4.1.8"	"cystathionine 4TMS NIST"	"0.0156694562658837"	"0.943791871045374"	"0.00431835043576245"	"0.00187331823608576"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3476125"	"0"	"0"	"0"	"0"	"1"	"5"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.5.1.48"	"cystathionine 4TMS NIST"	"0.0156694562658837"	"0.943791871045374"	"0.00431835043576245"	"0.00187331823608576"	""	""	"yes"	""
"Coding with metabolites"	"3474604"	"4"	"1"	"1"	"2"	"4"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"4"	"1"	"1"	"2"	"2.5.1.47,6.1.1.21"	"cysteine , adenosine-5-monophosphate"	"-0.460493780550349 , 0.364876166016188"	"0.708015912339639 , 0.766081697680536"	"0.0656729720449602 , 0.0567574552244345"	"0.0676196395268777 , 0.0443540520619505"	""	" , Sigma32"	"yes"	""
"Coding with metabolites"	"3476312"	"2"	"0"	"3"	"2"	"1"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.2.1.22"	"galactinol 1"	"-0.501880759226601"	"0.352618686694141"	"0.000372670185834307"	"0.00113748911214546"	""	""	"yes"	""
