""	""	""	""	"howmuch"
"1"	14161	15480	16647	0.974820143884892
"2"	14166	20974	25023	1
"3"	14336	223026	224336	1
"4"	14357	247664	277622	1
"5"	14400	286001	286778	0.74282982791587
"6"	14416	303461	303860	0.57163323782235
"7"	14417	304722	369542	0.93559718969555
"8"	14482	420470	424153	0.923552374756018
"9"	14492	435089	441830	0.862708719851577
"10"	1936269	448244	452665	1
"11"	14523	463389	463983	0.52914798206278
"12"	14524	464150	468673	0.833127317676143
"13"	14561	503379	504655	0.516574585635359
"14"	14575	519024	520464	1
"15"	14622	575477	577841	1
"16"	14730	718862	723207	1
"17"	14823	825582	827809	1
"18"	14888	909199	909975	0.88745148771022
"19"	14968	999299	1000577	0.735915492957746
"20"	14992	1019600	1020598	0.507228915662651
"21"	15002	1031912	1063375	1
"22"	15194	1245363	1246641	1
"23"	15219	1269199	1269975	0.658512720156556
"24"	15234	1284353	1285129	1
"25"	15332	1395976	1397207	0.702229299363057
"26"	15441	1515159	1515909	0.522548317823908
"27"	15675	1801866	1808149	1
"28"	15709	1822389	1831424	1
"29"	15718	1837077	1841692	1
"30"	15724	1850391	1851543	0.531984334203655
"31"	15870	2019879	2021157	0.68033946251768
"32"	1936604	2099501	2100278	0.703438395415473
"33"	16035	2185760	2186991	1
"34"	16074	2217858	2220887	0.760225669957687
"35"	16093	2244421	2245191	0.529573590096286
"36"	16100	2255130	2274631	0.82907133243607
"37"	16145	2299529	2312943	1
"38"	16159	2323866	2325176	1
"39"	16176	2343889	2357644	1
"40"	16185	2360039	2363779	1
"41"	16188	2365471	2373523	0.77710843373494
"42"	16199	2392763	2394550	0.655350553505535
"43"	16205	2411680	2413710	1
"44"	16206	2414031	2417653	0.775896414342629
"45"	16212	2419696	2419873	0.650735294117647
"46"	16416	2663878	2664654	0.636828644501279
"47"	16529	2796182	2797345	0.617331288343558
"48"	16563	2833028	2834306	0.767368421052632
"49"	16622	2915809	2931513	1
"50"	16681	2980079	2980855	0.653937947494033
"51"	16714	3015821	3017099	1
"52"	16760	3081711	3085889	1
"53"	16766	3092802	3094033	1
"54"	16958	3307593	3317807	0.733053582956746
"55"	17055	3416347	3417625	1
"56"	17073	3435653	3443654	0.99830220713073
"57"	17091	3451090	3451866	1
"58"	17101	3462536	3470928	1
"59"	17219	3588385	3593811	1
"60"	17255	3628307	3630611	1
"61"	17379	3754669	3755524	1
"62"	17533	3914702	3917467	0.842010771992819
"63"	17587	3985043	3985766	0.778256189451023
"64"	17627	4054709	4055674	0.612903225806452
"65"	17691	4132414	4138762	0.518193224592221
"66"	17716	4158905	4163589	0.923346986541837
"67"	17767	4223217	4224956	1
"68"	17835	4307953	4309184	0.85403445149592
"69"	17886	4364460	4367017	0.661082474226804
"70"	17889	4367123	4368218	0.548559946416611
"71"	17944	4437674	4441235	1
"72"	17947	4449417	4454456	1
"73"	17956	4462803	4464081	0.856420626895854
"74"	18078	4617860	4621293	1
"75"	18196	4763016	4764301	1
"76"	18256	4817740	4826530	1
"77"	18266	4831722	4833846	0.972544878563886
"78"	18279	4844021	4845299	0.99601593625498
"79"	18308	4874350	4875628	0.854039965247611
"80"	18332	4901982	4910482	1
"81"	18371	4986095	4989080	1
"82"	18375	5008735	5020064	1
